ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,133,67,8,3491,1400,126,0.986,5,120,48,28.6,KIA,0.269,133,5129,4373,627,1177,204,15,106,1729,597,109,34,KIA,0.269,554,11,59,782,110,0.395,0.35700000000000004,0.752,133,0.28,0.203,KIA,4.1,133,70,63,29,37,0.526,1163,1117,87,457,76,920,580,530,1.35,KIA,4.1,7,10,59,10,4991,19327,0.257,207,18,92,25,14,51,6,KIA,133,151,113,38,74.8,48,7
LG,133,97,11,3581,1417,131,0.981,20,110,51,31.7,LG,0.266,133,5158,4522,579,1203,192,15,94,1707,539,86,37,LG,0.266,463,15,49,858,106,0.377,0.338,0.715,133,0.271,0.16899999999999998,LG,4.15,133,59,72,30,50,0.45,1193,1173,80,512,71,827,620,550,1.41,LG,4.15,2,11,57,15,5209,19771,0.261,206,28,98,34,20,52,6,LG,133,168,116,52,69.0,53,4
SK,133,68,5,3577,1378,124,0.986,6,93,64,40.8,SK,0.263,133,5124,4404,584,1157,204,18,100,1697,561,147,36,SK,0.263,470,15,67,891,88,0.385,0.34,0.725,133,0.263,0.238,SK,3.59,133,71,59,37,63,0.546,1192,1001,93,541,65,1006,522,476,1.29,SK,3.59,1,9,34,15,5032,20130,0.233,149,16,99,35,24,64,3,SK,133,166,105,61,63.3,46,9
³Ø¼¾,133,96,8,3514,1495,142,0.981,14,175,68,28.0,³Ø¼¾,0.245,133,4989,4343,512,1065,187,23,79,1535,472,103,32,³Ø¼¾,0.245,460,16,51,992,94,0.353,0.32299999999999995,0.6759999999999999,132,0.252,0.212,³Ø¼¾,4.36,133,51,80,30,66,0.389,1171,1167,81,601,76,830,622,568,1.51,³Ø¼¾,4.36,0,10,44,13,5195,20610,0.268,194,20,115,46,16,73,1,³Ø¼¾,133,154,99,55,64.3,47,11
µÎ»ê,133,81,9,3566,1463,132,0.984,6,96,71,42.5,µÎ»ê,0.271,133,5204,4498,614,1221,196,27,92,1747,578,73,39,µÎ»ê,0.271,513,17,81,799,118,0.388,0.354,0.742,133,0.279,0.19,µÎ»ê,4.26,133,61,70,34,46,0.466,1188,1231,96,476,75,855,619,563,1.44,µÎ»ê,4.26,4,7,51,12,5170,20081,0.276,198,30,110,45,19,70,6,µÎ»ê,133,187,130,57,69.5,70,3
·Ôµ¥,133,106,10,3561,1576,165,0.98,7,88,60,40.5,·Ôµ¥,0.28800000000000003,133,5234,4599,713,1324,226,30,111,1943,666,61,44,·Ôµ¥,0.28800000000000003,466,19,64,836,124,0.422,0.358,0.78,133,0.29,0.229,·Ôµ¥,4.2,133,72,56,27,45,0.563,1187,1256,113,430,58,787,619,554,1.42,·Ôµ¥,4.2,3,6,67,15,5114,19624,0.28,202,13,102,31,19,62,4,·Ôµ¥,133,170,112,58,65.9,56,5
»ï¼º,133,75,5,3589,1298,115,0.985,6,91,50,35.5,»ï¼º,0.259,133,5145,4437,625,1150,193,20,95,1668,585,73,43,»ï¼º,0.259,522,23,69,940,97,0.376,0.343,0.7190000000000001,132,0.262,0.16699999999999998,»ï¼º,3.35,133,79,50,48,74,0.612,1196,1191,92,395,38,841,513,445,1.33,»ï¼º,3.35,1,12,65,8,5077,19378,0.263,183,19,87,30,8,40,5,»ï¼º,133,209,158,51,75.6,54,9
ÇÑÈ­,133,82,4,3525,1284,104,0.983,6,136,36,20.9,ÇÑÈ­,0.255,133,5085,4367,568,1112,160,14,93,1579,536,130,25,ÇÑÈ­,0.255,488,14,74,906,93,0.362,0.338,0.7,133,0.287,0.212,ÇÑÈ­,5.11,133,59,72,26,36,0.45,1175,1273,128,524,55,938,727,667,1.53,ÇÑÈ­,5.11,4,6,44,12,5280,20442,0.278,223,18,79,44,10,91,2,ÇÑÈ­,133,176,100,76,56.8,42,13
