ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,144,98,4,3870,1498,153,0.982,12,69,45,39.5,KIA,0.302,144,5841,5142,906,1554,292,29,170,2414,868,55,56,KIA,0.302,499,19,89,891,117,0.469,0.37,0.8390000000000001,144,0.324,0.254,KIA,4.79,144,87,56,33,46,0.608,1290,1518,137,434,77,985,743,687,1.51,KIA,4.79,5,5,75,18,5748,22223,0.295,255,21,52,46,22,69,4,KIA,144,110,76,34,69.1,46,8
KT,144,112,6,3768,1460,134,0.979,10,109,43,28.3,KT,0.275,144,5485,4937,655,1360,274,17,119,2025,625,62,45,KT,0.275,374,11,66,1017,118,0.41,0.332,0.742,144,0.29,0.239,KT,5.75,144,50,94,22,41,0.34700000000000003,1256,1524,174,433,95,913,876,803,1.56,KT,5.75,4,7,49,18,5702,21518,0.301,283,27,68,49,11,77,6,KT,144,137,86,51,62.8,54,8
LG,144,103,12,3837,1434,127,0.981,9,62,37,37.4,LG,0.281,144,5614,4944,699,1390,216,20,110,1976,663,76,55,LG,0.281,438,17,101,1021,123,0.4,0.348,0.748,144,0.295,0.217,LG,4.3,144,69,72,32,66,0.489,1279,1305,124,379,102,1040,677,611,1.32,LG,4.3,4,6,62,18,5507,21107,0.266,249,29,57,54,31,81,3,LG,144,133,77,56,57.9,50,9
NC,144,108,4,3854,1432,134,0.98,4,64,42,39.6,NC,0.293,144,5790,5079,786,1489,277,19,149,2251,739,62,48,NC,0.293,471,19,130,979,119,0.443,0.365,0.8079999999999999,144,0.292,0.249,NC,4.71,144,79,62,32,51,0.56,1284,1342,169,470,93,1097,745,673,1.41,NC,4.71,1,10,48,11,5640,22176,0.269,208,9,63,29,12,93,3,NC,144,125,93,32,74.4,59,7
SK,144,108,15,3812,1552,139,0.98,8,80,39,32.8,SK,0.271,144,5564,4925,761,1337,222,15,234,2291,733,57,41,SK,0.271,427,20,113,1100,97,0.465,0.341,0.8059999999999999,144,0.273,0.237,SK,5.02,144,75,68,30,64,0.524,1270,1443,154,481,105,940,767,709,1.51,SK,5.02,2,4,57,24,5692,21752,0.28800000000000003,271,17,58,36,35,61,7,SK,144,95,53,42,55.8,33,7
³Ø¼¾,144,91,7,3813,1424,125,0.983,8,73,43,37.1,³Ø¼¾,0.29,144,5712,5098,789,1479,267,30,141,2229,748,21,42,³Ø¼¾,0.29,468,15,83,1066,129,0.4370000000000001,0.35700000000000004,0.794,144,0.29,0.23,³Ø¼¾,5.03,144,69,73,40,66,0.486,1271,1488,149,388,97,1005,764,710,1.48,³Ø¼¾,5.03,2,5,60,18,5663,21258,0.292,280,21,47,40,10,56,3,³Ø¼¾,144,104,70,34,67.3,55,2
µÎ»ê,144,90,9,3864,1468,138,0.983,5,64,36,36.0,µÎ»ê,0.294,144,5833,5102,849,1499,270,20,178,2343,812,48,47,µÎ»ê,0.294,541,19,95,960,120,0.459,0.369,0.828,144,0.29600000000000004,0.2,µÎ»ê,4.38,144,84,57,35,46,0.596,1288,1405,125,464,87,956,678,627,1.45,µÎ»ê,4.38,3,9,69,13,5682,22169,0.28,234,31,77,39,11,54,4,µÎ»ê,144,102,69,33,67.6,36,8
·Ôµ¥,144,86,10,3862,1514,132,0.984,14,87,45,34.1,·Ôµ¥,0.285,144,5671,4994,743,1425,250,17,151,2162,697,76,32,·Ôµ¥,0.285,457,33,112,1018,146,0.433,0.35600000000000004,0.789,144,0.28,0.229,·Ôµ¥,4.56,144,80,62,39,59,0.563,1287,1357,162,477,79,1096,701,652,1.42,·Ôµ¥,4.56,1,10,61,21,5634,21978,0.273,245,20,51,50,25,67,7,·Ôµ¥,144,136,92,44,67.6,52,10
»ï¼º,144,95,6,3844,1454,152,0.982,14,64,35,35.4,»ï¼º,0.279,144,5707,5095,757,1419,255,36,145,2181,703,58,55,»ï¼º,0.279,429,17,70,983,97,0.428,0.34,0.768,144,0.285,0.22,»ï¼º,5.88,144,55,84,27,34,0.396,1281,1541,187,548,118,1063,911,837,1.63,»ï¼º,5.88,1,3,43,12,5916,23196,0.3,281,28,56,59,15,74,4,»ï¼º,144,135,98,37,72.6,53,6
ÇÑÈ­,144,91,4,3819,1500,151,0.983,11,78,42,35.0,ÇÑÈ­,0.287,144,5665,5030,737,1445,261,16,150,2188,684,85,38,ÇÑÈ­,0.287,416,15,94,974,112,0.435,0.35,0.785,144,0.29,0.281,ÇÑÈ­,5.28,144,61,81,31,49,0.43,1273,1474,166,446,100,914,820,747,1.51,ÇÑÈ­,5.28,1,5,54,21,5698,22066,0.293,278,16,71,57,13,77,4,ÇÑÈ­,144,108,64,44,59.3,58,12
