ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,126,66,8,3355,1426,133,0.986,6,77,39,33.6,KIA,0.255,126,4754,4181,476,1067,191,22,62,1488,431,102,26,KIA,0.255,390,20,55,650,90,0.35600000000000004,0.325,0.6809999999999999,126,0.247,0.259,KIA,3.33,126,64,59,35,29,0.52,1118,998,73,442,78,735,451,414,1.29,KIA,3.33,2,9,49,8,4725,18216,0.243,172,7,81,23,17,44,2,KIA,126,136,93,43,68.4,46,8
LG,126,82,9,3330,1382,132,0.983,7,64,42,39.6,LG,0.246,126,4724,4217,457,1037,181,16,81,1493,430,92,32,LG,0.246,330,19,52,813,86,0.354,0.306,0.66,125,0.232,0.208,LG,4.22,126,47,75,29,53,0.385,1110,1144,87,439,60,625,574,521,1.43,LG,4.22,3,10,51,12,4834,18397,0.273,188,22,115,33,23,41,3,LG,126,117,84,33,71.8,30,8
SK,126,90,8,3372,1436,137,0.982,6,121,50,29.2,SK,0.254,126,4793,4177,509,1059,171,19,99,1565,488,96,33,SK,0.254,424,19,63,859,84,0.375,0.329,0.7040000000000001,126,0.246,0.254,SK,3.8,126,60,65,33,52,0.48,1124,1071,85,446,83,701,535,475,1.35,SK,3.8,0,6,47,11,4819,18300,0.259,172,11,119,33,24,26,2,SK,126,164,117,47,71.3,58,11
µÎ»ê,126,95,7,3347,1306,110,0.98,19,108,47,30.3,µÎ»ê,0.258,126,4708,4147,455,1068,152,28,55,1441,425,81,27,µÎ»ê,0.258,368,14,83,635,102,0.34700000000000003,0.328,0.675,126,0.258,0.17600000000000002,µÎ»ê,3.36,126,63,60,39,29,0.512,1115,968,69,424,69,834,467,416,1.25,µÎ»ê,3.36,7,10,67,8,4690,17927,0.24,158,18,117,47,13,55,1,µÎ»ê,126,189,132,57,69.8,72,8
·Ôµ¥,126,84,10,3356,1529,123,0.983,13,70,48,40.7,·Ôµ¥,0.25,126,4766,4137,488,1034,173,3,88,1477,463,124,21,·Ôµ¥,0.25,418,17,65,815,84,0.35700000000000004,0.327,0.684,125,0.268,0.184,·Ôµ¥,3.86,126,50,73,28,34,0.407,1118,1128,83,410,60,637,541,480,1.37,·Ôµ¥,3.86,5,9,64,18,4822,18088,0.268,210,12,100,38,30,30,1,·Ôµ¥,126,103,62,41,60.2,68,7
»ï¼º,126,76,3,3354,1293,94,0.984,5,78,48,38.1,»ï¼º,0.255,126,4779,4091,538,1043,192,9,73,1472,505,90,42,»ï¼º,0.255,477,14,79,689,107,0.36,0.341,0.701,126,0.254,0.246,»ï¼º,3.33,126,73,50,49,65,0.593,1118,1030,100,365,63,781,471,414,1.25,»ï¼º,3.33,1,15,56,9,4699,18038,0.249,185,10,98,28,9,21,7,»ï¼º,126,173,121,52,69.9,56,6
ÇÑÈ­,126,84,6,3364,1421,105,0.983,7,123,51,29.3,ÇÑÈ­,0.253,126,4769,4170,511,1057,191,3,110,1584,481,68,30,ÇÑÈ­,0.253,442,13,59,800,120,0.38,0.331,0.711,123,0.24,0.195,ÇÑÈ­,3.35,126,67,57,41,47,0.54,1121,1077,94,373,49,760,475,418,1.29,ÇÑÈ­,3.35,11,14,56,10,4731,17764,0.257,166,11,94,18,17,37,2,ÇÑÈ­,126,93,65,28,69.9,41,3
Çö´ë,126,93,6,3344,1326,125,0.98,3,81,23,22.1,Çö´ë,0.27,126,4798,4092,547,1104,172,9,92,1570,518,153,32,Çö´ë,0.27,444,17,77,628,108,0.384,0.35,0.7340000000000001,126,0.272,0.207,Çö´ë,3.41,126,70,55,41,45,0.56,1114,1053,69,394,71,816,467,422,1.3,Çö´ë,3.41,2,15,67,8,4771,18458,0.251,172,18,82,23,0,39,0,Çö´ë,126,118,71,47,60.2,53,9
