ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,126,77,5,3329,1426,131,0.984,8,114,37,24.5,KIA,0.257,126,4811,4204,499,1080,198,16,73,1529,465,78,45,KIA,0.257,428,7,55,630,117,0.364,0.33,0.6940000000000001,126,0.242,0.156,KIA,4.49,126,51,74,26,27,0.408,1109,1109,103,526,97,670,602,554,1.47,KIA,4.49,2,6,43,6,4933,18852,0.266,244,17,93,39,28,60,7,KIA,126,114,70,44,61.4,30,5
LG,126,94,9,3407,1463,150,0.981,9,56,39,41.1,LG,0.268,126,4933,4322,532,1160,186,19,78,1618,508,89,43,LG,0.268,431,24,48,704,107,0.374,0.338,0.7120000000000001,126,0.262,0.266,LG,4.33,126,58,62,34,58,0.483,1135,1181,63,514,52,630,600,547,1.49,LG,4.33,2,9,58,16,5014,19341,0.275,215,27,105,55,21,48,2,LG,126,176,130,46,73.9,48,11
SK,126,88,3,3418,1503,152,0.982,1,71,50,41.3,SK,0.264,126,4881,4236,603,1118,212,20,112,1706,568,87,40,SK,0.264,442,22,76,750,86,0.403,0.341,0.7440000000000001,125,0.28300000000000003,0.223,SK,3.24,126,73,48,36,77,0.603,1139,1079,77,445,67,650,465,410,1.34,SK,3.24,1,10,58,9,4852,18425,0.256,141,7,94,32,27,28,1,SK,126,204,136,68,66.7,50,9
µÎ»ê,126,73,3,3394,1333,115,0.985,15,105,38,26.6,µÎ»ê,0.263,126,4856,4199,578,1103,209,32,78,1610,543,68,51,µÎ»ê,0.263,449,21,88,748,102,0.383,0.343,0.726,126,0.269,0.13699999999999998,µÎ»ê,3.44,126,70,54,30,42,0.565,1131,1067,74,399,75,721,480,432,1.3,µÎ»ê,3.44,6,14,57,11,4814,18464,0.252,187,17,79,34,24,43,4,µÎ»ê,126,220,161,59,73.2,62,12
·Ôµ¥,126,82,14,3362,1444,118,0.983,10,80,38,32.2,·Ôµ¥,0.27,126,4894,4273,533,1152,193,18,76,1609,501,104,39,·Ôµ¥,0.27,405,34,73,763,87,0.377,0.34,0.7170000000000001,126,0.282,0.262,·Ôµ¥,4.12,126,55,68,22,24,0.447,1120,1164,93,414,69,704,554,513,1.41,·Ôµ¥,4.12,2,9,59,12,4871,18425,0.274,184,19,95,43,40,46,4,·Ôµ¥,126,113,67,46,59.3,56,3
»ï¼º,126,87,8,3395,1431,113,0.982,8,70,43,38.1,»ï¼º,0.254,126,4895,4186,497,1062,191,9,86,1529,469,95,39,»ï¼º,0.254,511,28,63,678,93,0.365,0.341,0.706,125,0.238,0.273,»ï¼º,3.71,126,62,60,41,51,0.508,1131,1091,90,400,58,719,509,466,1.32,»ï¼º,3.71,0,11,42,6,4824,18606,0.258,187,20,94,46,7,35,5,»ï¼º,126,147,101,46,68.7,41,6
ÇÑÈ­,126,76,9,3357,1468,118,0.984,3,124,74,37.4,ÇÑÈ­,0.254,126,4805,4128,534,1050,165,13,104,1553,502,87,28,ÇÑÈ­,0.254,506,17,56,705,128,0.376,0.342,0.718,124,0.271,0.21600000000000005,ÇÑÈ­,3.54,126,67,57,39,36,0.54,1119,1084,84,451,53,741,481,440,1.37,ÇÑÈ­,3.54,9,5,66,12,4781,18314,0.261,182,6,82,36,24,38,4,ÇÑÈ­,126,69,48,21,69.6,43,5
Çö´ë,126,96,4,3381,1327,106,0.98,12,127,47,27.0,Çö´ë,0.271,126,4920,4260,530,1154,178,7,96,1634,507,125,32,Çö´ë,0.271,443,38,60,653,111,0.384,0.34600000000000003,0.73,126,0.269,0.3,Çö´ë,4.41,126,56,69,27,46,0.448,1127,1104,119,466,48,796,615,552,1.39,Çö´ë,4.41,1,2,44,11,4906,18861,0.259,192,21,91,32,20,32,4,Çö´ë,126,87,51,36,58.6,57,5
