ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,133,86,8,3551,1493,118,0.983,4,156,48,23.5,KIA,0.26,133,5166,4416,611,1148,190,17,106,1690,574,109,33,KIA,0.26,523,14,85,865,110,0.383,0.34700000000000003,0.73,133,0.263,0.165,KIA,4.39,133,59,74,25,40,0.444,1183,1227,93,468,81,885,641,577,1.43,KIA,4.39,4,7,54,26,5205,20067,0.272,232,14,102,35,19,53,4,KIA,133,169,117,52,69.2,48,14
LG,133,92,9,3564,1573,167,0.982,7,124,66,34.7,LG,0.276,133,5270,4604,688,1270,223,17,121,1890,652,82,44,LG,0.276,486,25,54,907,97,0.411,0.349,0.76,133,0.287,0.192,LG,5.23,133,57,71,31,59,0.445,1188,1279,125,560,104,793,746,690,1.55,LG,5.23,3,8,34,19,5326,20443,0.284,209,14,106,52,23,74,6,LG,133,225,169,56,75.1,58,15
SK,133,81,6,3595,1400,126,0.984,7,109,59,35.1,SK,0.274,133,5213,4439,704,1217,222,16,120,1831,648,147,44,SK,0.274,485,25,98,813,86,0.412,0.355,0.767,132,0.284,0.243,SK,3.71,133,84,47,36,39,0.6409999999999999,1198,1074,117,543,47,1091,545,494,1.35,SK,3.71,2,11,53,9,5114,20297,0.243,155,17,85,22,27,80,2,SK,133,230,161,69,70.0,51,13
³Ø¼¾,133,93,17,3557,1515,148,0.982,9,160,68,29.8,³Ø¼¾,0.262,133,5139,4452,570,1165,199,20,87,1665,539,95,43,³Ø¼¾,0.262,480,16,68,874,119,0.374,0.34,0.7140000000000001,132,0.268,0.221,³Ø¼¾,4.55,133,52,78,27,39,0.4,1185,1162,122,614,95,832,652,599,1.5,³Ø¼¾,4.55,1,2,42,12,5231,21053,0.265,201,16,93,48,17,66,3,³Ø¼¾,133,191,135,56,70.7,56,5
µÎ»ê,133,91,11,3539,1455,112,0.982,8,119,44,27.0,µÎ»ê,0.281,133,5252,4538,731,1276,224,25,149,1997,706,54,38,µÎ»ê,0.281,533,27,89,834,97,0.44,0.365,0.805,133,0.284,0.21,µÎ»ê,4.62,133,73,57,30,56,0.562,1179,1190,135,437,85,888,669,606,1.38,µÎ»ê,4.62,2,7,50,12,5131,19681,0.266,194,23,89,47,6,58,2,µÎ»ê,133,189,128,61,67.7,56,12
·Ôµ¥,133,102,11,3582,1680,130,0.981,6,131,62,32.1,·Ôµ¥,0.28800000000000003,133,5261,4673,773,1345,220,16,185,2152,739,60,41,·Ôµ¥,0.28800000000000003,420,15,67,873,105,0.461,0.35200000000000004,0.813,133,0.315,0.202,·Ôµ¥,4.82,133,69,61,21,37,0.531,1194,1291,149,419,78,779,710,640,1.43,·Ôµ¥,4.82,7,6,63,14,5204,19218,0.282,227,20,89,37,41,49,3,·Ôµ¥,133,175,124,51,70.9,62,7
»ï¼º,133,92,12,3581,1369,118,0.982,6,134,65,32.7,»ï¼º,0.272,133,5287,4436,681,1207,212,14,118,1801,630,111,44,»ï¼º,0.272,621,29,75,916,111,0.406,0.368,0.774,133,0.265,0.247,»ï¼º,3.94,133,79,52,33,44,0.603,1193,1168,103,453,54,951,575,523,1.36,»ï¼º,3.94,2,7,35,12,5119,19811,0.26,203,20,84,38,11,61,3,»ï¼º,133,213,158,55,74.2,54,8
ÇÑÈ­,133,80,10,3508,1448,127,0.984,7,151,58,27.8,ÇÑÈ­,0.244,133,5009,4321,543,1053,160,13,104,1551,508,75,33,ÇÑÈ­,0.244,497,10,80,943,106,0.359,0.331,0.69,133,0.263,0.172,ÇÑÈ­,5.43,133,49,82,24,28,0.374,1169,1290,146,551,72,806,763,705,1.57,ÇÑÈ­,5.43,6,6,46,9,5267,20322,0.28600000000000003,229,14,85,41,17,65,5,ÇÑÈ­,133,191,121,70,63.4,56,11
