ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,133,107,1,3536,1477,134,0.979,10,100,53,34.6,KIA,0.278,133,5189,4542,683,1263,221,17,142,1944,637,51,43,KIA,0.278,497,21,56,774,129,0.428,0.353,0.7809999999999999,133,0.272,0.225,KIA,5.01,133,60,68,28,16,0.469,1178,1231,160,499,79,743,727,656,1.47,KIA,5.01,10,6,35,0,5207,19799,0.272,212,16,71,36,17,51,3,KIA,133,155,92,63,59.4,0,0
LG,133,103,12,3554,1485,129,0.98,16,110,55,33.3,LG,0.276,133,5319,4521,669,1247,219,24,85,1769,630,114,41,LG,0.276,590,24,52,759,100,0.391,0.363,0.754,133,0.28,0.263,LG,5.09,133,58,67,26,27,0.464,1184,1253,127,647,69,765,732,670,1.6,LG,5.09,0,3,43,0,5380,21119,0.277,204,23,99,46,43,52,6,LG,133,154,96,58,62.3,0,0
SK,133,96,3,3514,1434,124,0.981,19,106,44,29.3,SK,0.26,133,5077,4400,596,1143,215,11,113,1719,555,122,26,SK,0.26,457,23,71,770,95,0.391,0.337,0.728,133,0.255,0.274,SK,4.38,133,60,71,33,22,0.458,1171,1148,155,508,65,908,640,570,1.41,SK,4.38,11,8,61,0,5110,19710,0.259,217,9,76,34,31,54,1,SK,133,182,123,59,67.6,0,0
µÎ»ê,133,109,3,3541,1599,140,0.979,12,126,56,30.8,µÎ»ê,0.276,133,5303,4583,732,1266,221,26,130,1929,688,54,46,µÎ»ê,0.276,560,27,60,697,116,0.421,0.359,0.78,133,0.278,0.163,µÎ»ê,4.96,133,65,63,35,40,0.508,1180,1290,128,546,60,799,733,650,1.56,µÎ»ê,4.96,1,3,27,0,5282,20071,0.284,196,23,85,48,17,47,0,µÎ»ê,133,166,132,34,79.5,0,0
·Ôµ¥,133,99,9,3515,1518,141,0.981,12,85,58,40.6,·Ôµ¥,0.28,133,5308,4521,718,1265,247,24,121,1923,671,82,60,·Ôµ¥,0.28,585,39,60,817,89,0.425,0.365,0.79,133,0.28800000000000003,0.244,·Ôµ¥,4.68,133,59,70,33,28,0.457,1171,1238,128,523,61,790,670,609,1.5,·Ôµ¥,4.68,0,3,43,0,5189,19593,0.276,251,22,86,38,23,53,2,·Ôµ¥,133,159,106,53,66.7,0,0
»ï¼º,133,79,7,3562,1365,112,0.984,10,95,48,33.6,»ï¼º,0.277,133,5280,4553,739,1262,244,21,162,2034,695,69,42,»ï¼º,0.277,520,27,95,814,111,0.447,0.36,0.807,133,0.267,0.223,»ï¼º,4.39,133,81,52,43,20,0.609,1187,1195,132,561,61,844,644,579,1.48,»ï¼º,4.39,7,6,51,0,5243,20128,0.265,207,13,76,37,20,38,8,»ï¼º,133,117,73,44,62.4,0,0
ÇÑÈ­,133,117,2,3555,1413,130,0.977,9,111,48,30.2,ÇÑÈ­,0.275,133,5259,4556,659,1255,211,15,148,1940,628,75,34,ÇÑÈ­,0.275,549,28,45,877,106,0.426,0.35700000000000004,0.7829999999999999,133,0.265,0.233,ÇÑÈ­,4.82,133,61,68,25,33,0.473,1185,1288,142,541,66,813,733,634,1.54,ÇÑÈ­,4.82,7,5,49,0,5331,20774,0.28,238,26,73,45,44,57,5,ÇÑÈ­,133,200,135,65,67.5,0,0
Çö´ë,133,116,6,3550,1553,147,0.978,5,96,69,41.8,Çö´ë,0.268,133,5225,4445,711,1192,166,20,169,1905,667,77,29,Çö´ë,0.268,598,14,76,911,109,0.429,0.362,0.7909999999999999,133,0.279,0.232,Çö´ë,4.34,133,72,57,39,23,0.5579999999999999,1183,1250,98,531,54,757,628,570,1.51,Çö´ë,4.34,6,3,56,0,5218,20097,0.277,219,26,78,37,8,54,1,Çö´ë,133,154,99,55,64.3,0,0
