ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,128,94,7,3365,1348,131,0.98,7,162,64,28.3,KIA,0.28800000000000003,128,5023,4443,662,1279,246,27,121,1942,631,67,35,KIA,0.28800000000000003,416,11,62,870,95,0.4370000000000001,0.355,0.792,128,0.258,0.235,KIA,5.82,128,54,74,26,40,0.422,1121,1289,116,561,67,896,788,725,1.65,KIA,5.82,2,5,42,21,5143,20272,0.293,252,32,66,52,8,78,1,KIA,128,184,121,63,65.8,59,7
LG,128,91,10,3428,1414,125,0.982,9,119,48,28.7,LG,0.279,128,5070,4349,668,1214,213,22,90,1741,622,77,57,LG,0.279,524,17,63,817,112,0.4,0.361,0.7609999999999999,127,0.29,0.202,LG,4.58,128,62,64,35,65,0.4920000000000001,1142,1211,104,419,95,810,643,581,1.43,LG,4.58,2,9,47,21,5028,19440,0.275,195,27,72,44,25,51,1,LG,128,169,105,64,62.1,51,9
NC,128,87,6,3407,1384,125,0.982,9,94,43,31.4,NC,0.282,128,5031,4426,737,1249,228,36,143,1978,697,44,51,NC,0.282,443,9,67,918,90,0.447,0.353,0.8,127,0.3,0.257,NC,4.29,128,70,57,31,59,0.551,1135,1174,117,481,73,848,608,541,1.46,NC,4.29,3,4,59,19,5003,19320,0.271,223,12,78,38,8,50,5,NC,128,201,154,47,76.6,44,7
SK,128,107,3,3388,1373,132,0.978,6,103,51,33.1,SK,0.29100000000000004,128,5082,4423,735,1285,245,22,115,1919,696,91,49,SK,0.29100000000000004,447,12,72,926,92,0.434,0.361,0.795,128,0.301,0.305,SK,5.51,128,61,65,26,44,0.484,1129,1271,153,522,68,837,760,692,1.59,SK,5.51,2,3,41,15,5112,20141,0.287,239,21,60,36,19,67,1,SK,128,185,139,46,75.1,50,11
³Ø¼¾,128,79,12,3395,1342,125,0.984,7,118,44,27.2,³Ø¼¾,0.298,128,5163,4434,841,1323,275,31,199,2257,786,65,40,³Ø¼¾,0.298,523,10,101,849,100,0.509,0.382,0.8909999999999999,128,0.28600000000000003,0.233,³Ø¼¾,5.25,128,78,48,35,55,0.619,1131,1299,142,516,61,901,716,660,1.6,³Ø¼¾,5.25,0,3,43,12,5107,20728,0.293,231,18,57,36,2,55,4,³Ø¼¾,128,144,100,44,69.4,54,13
µÎ»ê,128,81,3,3371,1268,102,0.983,7,113,46,28.9,µÎ»ê,0.293,128,5083,4427,687,1299,235,26,108,1910,646,81,43,µÎ»ê,0.293,468,10,64,731,103,0.431,0.366,0.797,128,0.282,0.194,µÎ»ê,5.43,128,59,68,19,61,0.465,1123,1311,121,450,58,840,733,678,1.57,µÎ»ê,5.43,4,2,42,14,5066,19670,0.295,243,29,63,55,4,56,4,µÎ»ê,128,155,111,44,71.6,50,6
·Ôµ¥,128,89,16,3400,1407,134,0.982,11,84,37,30.6,·Ôµ¥,0.287,128,5194,4487,716,1288,252,26,121,1955,685,62,41,·Ôµ¥,0.287,534,19,70,964,95,0.436,0.369,0.805,127,0.28300000000000003,0.245,·Ôµ¥,5.19,128,58,69,28,64,0.457,1133,1310,127,471,52,781,719,654,1.57,·Ôµ¥,5.19,0,4,46,14,5092,19761,0.295,250,26,82,42,13,54,1,·Ôµ¥,128,104,63,41,60.6,49,2
»ï¼º,128,77,6,3432,1171,104,0.984,8,100,44,30.6,»ï¼º,0.301,128,5152,4464,812,1345,238,23,161,2112,763,76,43,»ï¼º,0.301,507,11,62,743,88,0.473,0.377,0.85,128,0.327,0.223,»ï¼º,4.52,128,78,47,35,65,0.624,1144,1217,120,395,61,996,621,575,1.41,»ï¼º,4.52,3,6,63,18,4990,19628,0.275,257,24,66,40,11,51,3,»ï¼º,128,207,161,46,77.8,60,10
ÇÑÈ­,128,113,7,3387,1344,126,0.977,12,110,59,34.9,ÇÑÈ­,0.28300000000000003,128,5055,4417,619,1251,223,24,104,1834,594,50,43,ÇÑÈ­,0.28300000000000003,490,5,55,839,125,0.415,0.359,0.774,128,0.266,0.221,ÇÑÈ­,6.35,128,49,77,26,30,0.389,1129,1451,162,537,81,748,889,796,1.76,ÇÑÈ­,6.35,2,3,37,11,5312,20365,0.318,265,48,69,59,14,83,3,ÇÑÈ­,128,111,70,41,63.1,46,5
