ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,128,71,10,3427,1318,103,0.985,10,193,57,22.8,KIA,0.261,128,5051,4318,587,1125,195,13,88,1610,545,78,42,KIA,0.261,537,8,75,864,110,0.373,0.349,0.722,127,0.258,0.24,KIA,5.12,128,51,74,32,50,0.408,1142,1307,88,532,76,923,711,650,1.61,KIA,5.12,2,3,48,12,5200,20309,0.293,259,28,79,48,12,73,6,KIA,128,188,141,47,75.0,50,7
LG,128,77,14,3404,1436,165,0.984,8,123,51,29.3,LG,0.282,128,4934,4291,616,1210,194,38,59,1657,574,91,42,LG,0.282,451,11,59,806,80,0.386,0.355,0.741,128,0.295,0.252,LG,3.72,128,74,54,42,86,0.578,1134,1131,74,406,87,822,510,469,1.35,LG,3.72,4,9,55,11,4848,18714,0.266,183,20,59,38,27,46,2,LG,128,210,139,71,66.2,69,17
NC,128,93,10,3433,1373,121,0.981,8,87,55,38.7,NC,0.244,128,4866,4282,512,1045,209,25,86,1562,485,55,31,NC,0.244,434,11,62,955,94,0.365,0.32,0.685,127,0.257,0.17600000000000002,NC,3.96,128,52,72,26,31,0.419,1144,1077,96,458,94,857,551,503,1.34,NC,3.96,5,5,74,21,4919,19087,0.254,176,15,84,50,13,60,6,NC,128,189,142,47,75.1,35,19
SK,128,84,14,3417,1350,128,0.983,11,81,47,36.7,SK,0.265,128,4950,4278,588,1134,189,20,124,1735,558,83,37,SK,0.265,465,26,86,918,99,0.406,0.34600000000000003,0.752,128,0.266,0.245,SK,4.16,128,62,63,31,38,0.496,1139,1091,101,505,70,878,571,527,1.4,SK,4.16,4,8,65,17,4932,19108,0.257,217,12,75,42,15,66,5,SK,128,207,144,63,69.6,42,13
³Ø¼¾,128,97,15,3439,1463,142,0.981,11,133,65,32.8,³Ø¼¾,0.272,128,5015,4294,646,1167,209,11,125,1773,607,76,42,³Ø¼¾,0.272,505,12,98,912,94,0.413,0.358,0.7709999999999999,127,0.28,0.2,³Ø¼¾,4.12,128,72,54,50,70,0.5710000000000001,1146,1160,75,503,84,860,576,525,1.45,³Ø¼¾,4.12,0,7,53,12,4996,19638,0.27,202,21,71,37,8,52,3,³Ø¼¾,128,196,131,65,66.8,55,14
µÎ»ê,128,61,6,3451,1372,133,0.988,8,114,59,34.1,µÎ»ê,0.289,128,5142,4401,699,1271,217,37,95,1847,654,82,56,µÎ»ê,0.289,524,19,79,717,105,0.42,0.37,0.79,128,0.289,0.295,µÎ»ê,4.57,128,71,54,30,42,0.568,1150,1183,84,514,76,848,625,584,1.48,µÎ»ê,4.57,1,8,44,17,5043,19707,0.272,207,30,67,39,10,55,6,µÎ»ê,128,233,172,61,73.8,53,15
·Ôµ¥,128,98,26,3448,1449,114,0.98,2,113,66,36.9,·Ôµ¥,0.261,128,4978,4289,556,1118,208,18,61,1545,522,74,41,·Ôµ¥,0.261,502,22,72,862,92,0.36,0.345,0.705,128,0.259,0.279,·Ôµ¥,3.93,128,66,58,38,64,0.532,1149,1148,84,489,62,820,553,502,1.42,·Ôµ¥,3.93,1,11,68,21,4986,19418,0.267,180,13,94,36,15,45,0,·Ôµ¥,128,191,133,58,69.6,66,12
»ï¼º,128,76,12,3440,1226,113,0.984,8,128,46,26.4,»ï¼º,0.28300000000000003,128,5042,4370,669,1235,212,17,113,1820,624,84,41,»ï¼º,0.28300000000000003,453,9,93,818,98,0.416,0.359,0.775,128,0.298,0.208,»ï¼º,3.98,128,75,51,31,49,0.595,1146,1119,98,411,60,955,545,507,1.33,»ï¼º,3.98,2,5,70,7,4896,19250,0.259,194,21,70,29,12,44,4,»ï¼º,128,136,95,41,69.9,58,6
ÇÑÈ­,128,74,5,3387,1301,103,0.984,12,159,56,26.0,ÇÑÈ­,0.259,128,4915,4271,480,1106,212,13,47,1485,448,54,30,ÇÑÈ­,0.259,479,11,80,933,140,0.348,0.343,0.691,128,0.253,0.211,ÇÑÈ­,5.31,128,42,85,22,34,0.331,1129,1195,98,532,95,822,711,666,1.53,ÇÑÈ­,5.31,2,2,34,8,5073,19471,0.276,227,32,78,43,17,89,8,ÇÑÈ­,128,119,70,49,58.8,56,9
