ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,126,75,5,3372,1481,129,0.985,6,143,54,27.4,KIA,0.26,126,4832,4210,503,1095,188,28,48,1483,465,85,35,KIA,0.26,453,14,48,642,97,0.35200000000000004,0.336,0.688,126,0.251,0.217,KIA,4.08,126,57,69,29,26,0.452,1124,1078,65,473,77,733,555,510,1.38,KIA,4.08,3,9,58,10,4850,18391,0.256,180,19,50,42,9,52,5,KIA,126,196,131,65,66.8,62,11
LG,126,76,13,3325,1365,118,0.984,7,87,51,37.0,LG,0.256,126,4743,4184,468,1070,164,23,66,1478,447,85,50,LG,0.256,364,6,59,765,90,0.353,0.321,0.674,126,0.249,0.257,LG,4.85,126,46,80,25,40,0.365,1108,1239,82,480,72,631,646,597,1.55,LG,4.85,1,9,42,10,4976,18608,0.28800000000000003,225,41,77,39,4,46,3,LG,126,156,111,45,71.2,48,8
SK,126,102,9,3453,1464,133,0.98,6,89,65,42.2,SK,0.282,126,5003,4332,632,1222,215,23,89,1750,591,80,38,SK,0.282,491,15,62,735,99,0.404,0.361,0.765,126,0.278,0.289,SK,3.22,126,83,43,43,72,0.659,1151,1053,78,448,55,801,461,412,1.3,SK,3.22,1,10,52,16,4855,18607,0.248,127,14,70,32,13,35,2,SK,126,253,170,83,67.2,52,7
µÎ»ê,126,92,5,3404,1325,111,0.981,12,109,46,29.7,µÎ»ê,0.276,126,4975,4344,647,1198,166,37,68,1642,598,36,44,µÎ»ê,0.276,472,23,78,719,115,0.378,0.354,0.732,126,0.278,0.31,µÎ»ê,3.89,126,70,56,26,37,0.556,1134,1115,78,379,69,780,542,490,1.32,µÎ»ê,3.89,0,8,41,14,4857,18259,0.259,192,29,66,45,13,45,5,µÎ»ê,126,252,189,63,75.0,47,8
·Ôµ¥,126,92,3,3357,1507,155,0.981,7,112,55,32.9,·Ôµ¥,0.282,126,4890,4256,624,1200,199,22,93,1722,590,62,51,·Ôµ¥,0.282,445,13,76,728,97,0.405,0.35600000000000004,0.7609999999999999,126,0.273,0.189,·Ôµ¥,3.64,126,69,57,27,38,0.5479999999999999,1119,1134,70,409,47,671,518,453,1.38,·Ôµ¥,3.64,9,5,68,11,4769,17361,0.27,196,22,78,40,32,42,2,·Ôµ¥,126,201,133,68,66.2,77,9
»ï¼º,126,69,9,3370,1387,119,0.986,9,124,59,32.2,»ï¼º,0.258,126,4859,4180,557,1078,186,16,92,1572,520,70,38,»ï¼º,0.258,505,15,65,699,115,0.376,0.344,0.72,124,0.274,0.206,»ï¼º,4.4,126,65,61,40,48,0.516,1123,1184,87,416,43,703,596,549,1.42,»ï¼º,4.4,0,6,27,7,4867,18532,0.275,209,18,54,41,4,49,4,»ï¼º,126,96,59,37,61.5,53,6
¿ì¸®,126,100,10,3376,1403,121,0.98,10,123,58,32.0,¿ì¸®,0.266,126,4834,4317,499,1149,190,19,70,1587,471,51,33,¿ì¸®,0.266,396,20,37,713,114,0.368,0.331,0.6990000000000001,126,0.27,0.237,¿ì¸®,4.43,126,50,76,29,36,0.397,1125,1159,91,465,70,729,609,554,1.44,¿ì¸®,4.43,4,10,57,15,4933,18768,0.269,209,29,52,39,20,46,2,¿ì¸®,126,154,97,57,63.0,44,10
ÇÑÈ­,126,61,8,3389,1457,150,0.988,9,171,55,24.3,ÇÑÈ­,0.254,126,4882,4275,592,1086,204,20,120,1690,566,52,35,ÇÑÈ­,0.254,463,17,57,770,100,0.395,0.333,0.728,124,0.28300000000000003,0.195,ÇÑÈ­,4.43,126,64,62,36,39,0.508,1129,1136,95,519,49,723,595,556,1.47,ÇÑÈ­,4.43,3,5,44,10,4911,18991,0.269,174,16,74,46,28,37,4,ÇÑÈ­,126,122,97,25,79.5,38,4
