ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,144,110,5,3792,1381,126,0.979,9,116,50,30.1,KIA,0.264,144,5505,4874,605,1286,248,19,76,1800,567,31,45,KIA,0.264,497,13,58,919,108,0.369,0.336,0.705,144,0.256,0.19,KIA,4.65,144,62,80,30,64,0.4370000000000001,1264,1362,101,504,76,976,723,653,1.48,KIA,4.65,3,11,59,13,5614,21353,0.276,257,24,35,61,17,51,2,KIA,144,129,87,42,67.4,61,7
KT,144,102,7,3831,1479,137,0.981,15,90,43,32.3,KT,0.277,144,5582,4965,650,1375,187,20,103,1911,615,45,45,KT,0.277,475,15,52,975,113,0.385,0.344,0.7290000000000001,144,0.27,0.218,KT,4.29,144,71,71,37,59,0.5,1277,1303,118,481,61,848,661,608,1.4,KT,4.29,2,10,62,9,5533,20662,0.266,225,25,47,42,17,50,6,KT,144,148,104,44,70.3,58,8
LG,144,95,6,3850,1507,139,0.983,7,115,41,26.3,LG,0.267,144,5536,4928,641,1316,233,15,94,1861,604,49,48,LG,0.267,434,17,77,962,117,0.378,0.333,0.711,144,0.265,0.222,LG,3.86,144,79,64,43,62,0.552,1283,1257,89,499,91,953,633,551,1.37,LG,3.86,1,9,73,13,5555,20969,0.258,223,23,40,48,15,64,1,LG,144,155,108,47,69.7,38,6
NC,144,95,6,3853,1477,130,0.982,4,64,49,43.4,NC,0.278,144,5631,4968,674,1383,249,26,128,2068,639,64,60,NC,0.278,456,14,83,880,126,0.416,0.345,0.7609999999999999,144,0.266,0.179,NC,4.01,144,73,69,32,68,0.514,1284,1285,103,483,92,991,631,572,1.38,NC,4.01,5,8,60,17,5578,21407,0.262,199,19,41,54,10,68,2,NC,144,132,87,45,65.9,53,7
SK,144,87,9,3877,1416,131,0.984,3,105,31,22.8,SK,0.262,144,5542,4919,655,1290,218,14,117,1887,622,35,38,SK,0.262,462,20,87,966,92,0.384,0.334,0.718,144,0.278,0.252,SK,3.48,144,88,55,51,92,0.615,1292,1240,99,436,50,1092,546,500,1.3,SK,3.48,0,19,78,8,5463,20930,0.254,176,14,48,44,12,50,4,SK,144,168,118,50,70.2,51,12
µÎ»ê,144,83,8,3851,1430,131,0.985,6,96,32,25.0,µÎ»ê,0.278,144,5670,4913,736,1364,235,31,84,1913,691,39,83,µÎ»ê,0.278,563,16,72,799,117,0.389,0.355,0.7440000000000001,144,0.277,0.202,µÎ»ê,3.51,144,88,55,44,69,0.615,1283,1259,78,380,70,860,550,500,1.28,µÎ»ê,3.51,3,10,81,16,5434,20630,0.257,231,22,41,53,22,48,5,µÎ»ê,144,140,102,38,72.9,59,7
·Ôµ¥,144,114,8,3813,1432,131,0.979,11,91,44,32.6,·Ôµ¥,0.25,144,5488,4919,578,1231,214,22,90,1759,545,35,40,·Ôµ¥,0.25,429,12,65,1085,108,0.358,0.316,0.674,144,0.25,0.193,·Ôµ¥,4.83,144,48,93,16,47,0.34,1271,1407,120,546,71,1033,764,682,1.54,·Ôµ¥,4.83,1,8,47,17,5729,21946,0.282,242,20,58,64,33,103,4,·Ôµ¥,144,96,65,31,67.7,49,8
»ï¼º,144,105,4,3826,1370,132,0.98,9,90,38,29.7,»ï¼º,0.256,144,5533,4866,622,1245,230,26,122,1893,598,58,53,»ï¼º,0.256,478,15,78,976,107,0.389,0.329,0.718,143,0.254,0.204,»ï¼º,4.64,144,60,83,29,60,0.42,1275,1332,125,523,70,924,731,658,1.45,»ï¼º,4.64,4,8,54,15,5638,21721,0.269,253,37,40,56,9,49,5,»ï¼º,144,149,107,42,71.8,45,7
Å°¿ò,144,99,13,3837,1509,128,0.982,6,92,46,33.3,Å°¿ò,0.282,144,5658,4991,780,1405,251,38,112,2068,741,36,48,Å°¿ò,0.282,514,13,69,943,122,0.414,0.354,0.768,144,0.3,0.276,Å°¿ò,3.61,144,86,57,39,91,0.601,1279,1293,61,371,58,984,572,513,1.3,Å°¿ò,3.61,2,12,76,11,5427,20160,0.263,244,24,42,39,3,45,6,Å°¿ò,144,143,110,33,76.9,37,6
ÇÑÈ­,144,106,8,3806,1488,151,0.98,10,104,49,32.0,ÇÑÈ­,0.256,144,5482,4882,607,1250,223,16,88,1769,562,44,45,ÇÑÈ­,0.256,441,12,70,1090,112,0.362,0.324,0.6859999999999999,143,0.255,0.187,ÇÑÈ­,4.8,144,58,86,28,43,0.403,1268,1407,120,526,72,934,737,677,1.52,ÇÑÈ­,4.8,2,8,48,17,5656,21848,0.28300000000000003,238,19,44,44,9,66,4,ÇÑÈ­,144,156,105,51,67.3,51,6
