ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,133,101,1,3585,1403,127,0.98,12,75,60,44.4,KIA,0.269,133,5200,4575,643,1230,220,14,120,1838,611,45,35,KIA,0.269,454,32,91,914,107,0.402,0.344,0.746,133,0.268,0.25,KIA,3.92,133,78,51,38,30,0.605,1195,1185,151,370,97,862,580,520,1.3,KIA,3.92,10,7,55,0,5106,19112,0.26,159,12,54,34,14,55,2,KIA,133,194,155,39,79.9,54,8
LG,133,91,10,3572,1369,139,0.982,8,67,48,41.7,LG,0.261,133,5121,4492,583,1173,212,22,100,1729,541,93,37,LG,0.261,412,29,86,951,91,0.385,0.332,0.7170000000000001,133,0.258,0.17800000000000002,LG,3.93,133,66,61,32,40,0.52,1190,1119,135,501,100,896,575,520,1.36,LG,3.93,2,9,38,0,5145,20432,0.252,185,19,74,26,30,40,5,LG,133,203,140,63,69.0,46,7
SK,133,94,8,3537,1363,95,0.981,8,129,50,27.9,SK,0.27,133,5090,4475,618,1207,204,27,158,1939,587,96,34,SK,0.27,385,15,100,815,94,0.433,0.339,0.772,133,0.271,0.218,SK,4.47,133,61,69,25,15,0.469,1179,1150,176,402,78,948,638,586,1.32,SK,4.47,5,7,54,0,5074,19578,0.255,209,15,55,23,34,34,3,SK,133,135,80,55,59.3,60,11
µÎ»ê,133,88,3,3549,1447,130,0.983,7,103,53,34.0,µÎ»ê,0.261,133,5083,4498,587,1173,174,21,130,1779,556,47,46,µÎ»ê,0.261,434,17,58,794,107,0.396,0.331,0.727,133,0.255,0.266,µÎ»ê,3.93,133,66,65,38,43,0.504,1183,1139,99,479,60,954,562,517,1.37,µÎ»ê,3.93,3,6,60,0,5087,19237,0.257,187,23,77,33,30,44,2,µÎ»ê,133,148,106,42,71.6,46,1
·Ôµ¥,133,117,2,3504,1523,165,0.977,13,107,41,27.7,·Ôµ¥,0.245,133,4986,4512,463,1105,206,19,85,1604,443,49,22,·Ôµ¥,0.245,324,14,78,978,75,0.355,0.305,0.66,132,0.224,0.131,·Ôµ¥,4.72,133,35,97,13,19,0.265,1168,1269,130,443,83,775,710,612,1.47,·Ôµ¥,4.72,5,7,49,0,5156,19635,0.281,266,28,70,45,16,40,1,·Ôµ¥,133,139,76,63,54.7,51,9
»ï¼º,133,87,5,3593,1409,115,0.983,14,74,65,46.8,»ï¼º,0.284,133,5304,4648,777,1321,266,16,191,2192,731,55,34,»ï¼º,0.284,469,26,97,804,116,0.472,0.36,0.8320000000000001,133,0.278,0.165,»ï¼º,3.92,133,82,47,37,22,0.636,1197,1182,148,385,74,987,581,521,1.31,»ï¼º,3.92,2,8,45,0,5089,19535,0.262,214,22,80,33,16,45,3,»ï¼º,133,76,47,29,61.8,49,5
ÇÑÈ­,133,85,10,3554,1363,94,0.983,9,116,43,27.0,ÇÑÈ­,0.256,133,5062,4491,603,1148,206,10,170,1884,570,52,22,ÇÑÈ­,0.256,446,22,49,1064,106,0.42,0.328,0.748,133,0.251,0.189,ÇÑÈ­,4.79,133,59,69,32,32,0.461,1184,1254,146,392,102,953,672,631,1.39,ÇÑÈ­,4.79,8,5,54,0,5198,20061,0.272,229,25,62,38,29,42,4,ÇÑÈ­,133,159,94,65,59.1,38,3
Çö´ë,133,82,10,3559,1445,125,0.984,12,82,46,35.9,Çö´ë,0.261,133,5140,4444,658,1160,191,25,173,1920,643,99,34,Çö´ë,0.261,464,26,99,945,82,0.4320000000000001,0.342,0.774,133,0.27,0.209,Çö´ë,4.23,133,70,58,38,36,0.547,1186,1219,142,416,64,890,614,558,1.38,Çö´ë,4.23,3,6,49,0,5131,19927,0.268,230,10,64,32,12,54,5,Çö´ë,133,129,79,50,61.2,50,6
