ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,144,94,8,3812,1371,127,0.982,11,95,40,29.6,KIA,0.295,144,5744,5036,865,1487,258,22,170,2299,823,56,50,KIA,0.295,503,27,99,905,135,0.457,0.3670000000000001,0.8240000000000001,144,0.302,0.207,KIA,5.4,144,70,74,26,43,0.486,1270,1511,181,445,69,1017,826,763,1.54,KIA,5.4,4,5,50,20,5708,21852,0.297,271,17,47,51,28,65,3,KIA,144,125,88,37,70.4,53,6
KT,144,99,9,3823,1502,161,0.982,21,99,42,29.8,KT,0.275,144,5605,5026,757,1382,264,13,206,2290,721,43,26,KT,0.275,464,14,46,1109,103,0.456,0.34,0.7959999999999999,144,0.273,0.262,KT,5.34,144,59,82,24,45,0.418,1274,1580,194,409,84,1025,834,756,1.56,KT,5.34,4,5,59,18,5743,21948,0.307,272,23,56,43,25,63,1,KT,144,137,80,57,58.4,63,7
LG,144,100,7,3806,1404,121,0.981,10,100,41,29.1,LG,0.293,144,5665,5070,788,1487,299,12,148,2254,740,51,51,LG,0.293,418,14,75,1001,125,0.445,0.353,0.7979999999999999,144,0.307,0.245,LG,5.29,144,68,75,29,43,0.476,1268,1434,159,453,89,1058,816,746,1.49,LG,5.29,3,7,64,17,5677,21711,0.285,266,19,45,50,13,72,4,LG,144,109,71,38,65.1,48,7
NC,144,107,7,3792,1401,141,0.98,19,86,46,34.8,NC,0.261,144,5488,4895,660,1280,233,18,143,1978,629,35,43,NC,0.261,427,15,88,1081,115,0.404,0.329,0.733,143,0.268,0.284,NC,5.48,144,58,85,24,51,0.406,1264,1443,186,537,68,1010,844,769,1.57,NC,5.48,1,4,45,20,5701,22506,0.289,248,20,45,51,17,92,6,NC,144,117,82,35,70.1,48,8
SK,144,116,6,3824,1434,133,0.978,6,95,39,29.1,SK,0.281,144,5682,4992,829,1403,234,13,233,2362,791,54,34,SK,0.281,483,6,119,1079,103,0.473,0.35600000000000004,0.8290000000000001,144,0.28800000000000003,0.241,SK,4.67,144,78,65,29,63,0.545,1274,1353,189,425,74,1130,729,662,1.39,SK,4.67,0,7,60,21,5563,21347,0.271,232,17,39,24,15,62,2,SK,144,147,108,39,73.5,51,10
³Ø¼¾,144,106,16,3846,1506,147,0.981,7,70,39,35.8,³Ø¼¾,0.28800000000000003,144,5780,5141,825,1481,288,19,165,2302,787,32,50,³Ø¼¾,0.28800000000000003,472,25,85,1208,93,0.448,0.355,0.8029999999999999,144,0.29600000000000004,0.265,³Ø¼¾,5.08,144,75,69,32,72,0.521,1282,1442,178,416,98,1021,780,723,1.45,³Ø¼¾,5.08,4,2,63,23,5646,21381,0.285,252,18,41,33,13,59,4,³Ø¼¾,144,134,101,33,75.4,45,6
µÎ»ê,144,77,2,3866,1403,147,0.986,8,68,43,38.7,µÎ»ê,0.309,144,5870,5176,944,1601,284,30,191,2518,898,43,63,µÎ»ê,0.309,496,16,92,1016,112,0.486,0.376,0.862,144,0.317,0.263,µÎ»ê,4.98,144,93,51,41,56,0.6459999999999999,1288,1401,154,476,109,1025,756,713,1.46,µÎ»ê,4.98,1,9,73,17,5700,21946,0.279,266,16,42,43,17,72,2,µÎ»ê,144,119,96,23,80.7,54,7
·Ôµ¥,144,117,5,3851,1426,132,0.978,14,101,41,28.9,·Ôµ¥,0.289,144,5764,5130,821,1484,289,17,203,2416,792,45,37,·Ôµ¥,0.289,471,22,81,1157,124,0.471,0.35600000000000004,0.8270000000000001,144,0.29,0.25,·Ôµ¥,5.37,144,68,74,29,64,0.479,1283,1410,166,548,73,1164,846,766,1.53,·Ôµ¥,5.37,0,6,43,22,5788,22871,0.279,295,26,63,43,23,65,7,·Ôµ¥,144,100,68,32,68.0,46,10
»ï¼º,144,79,5,3856,1337,133,0.985,7,100,38,27.5,»ï¼º,0.28800000000000003,144,5766,5109,776,1471,241,29,146,2208,732,57,45,»ï¼º,0.28800000000000003,468,14,87,1034,115,0.4320000000000001,0.355,0.787,144,0.282,0.237,»ï¼º,5.19,144,68,72,33,56,0.486,1285,1477,185,441,107,1114,802,741,1.49,»ï¼º,5.19,0,5,58,17,5740,22530,0.289,291,18,40,43,10,45,5,»ï¼º,144,168,116,52,69.0,46,4
ÇÑÈ­,144,99,10,3822,1397,141,0.981,11,83,41,33.1,ÇÑÈ­,0.275,144,5539,4972,729,1369,249,14,151,2099,668,31,28,ÇÑÈ­,0.275,420,17,88,1098,113,0.422,0.341,0.763,144,0.28300000000000003,0.231,ÇÑÈ­,4.93,144,77,67,37,62,0.535,1274,1394,164,472,89,1124,761,698,1.46,ÇÑÈ­,4.93,0,5,45,13,5637,22342,0.279,246,13,29,46,9,78,7,ÇÑÈ­,144,182,118,64,64.8,58,10
