¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
6,KIA,133,107,1,3536,1477,134,0.9790000000000001,10,100,53,34.6
3,LG,133,103,12,3554,1485,129,0.98,16,110,55,33.3
8,SK,133,96,3,3514,1434,124,0.981,19,106,44,29.3
5,µÎ»ê,133,109,3,3541,1599,140,0.9790000000000001,12,126,56,30.8
7,·Ôµ¥,133,99,9,3515,1518,141,0.981,12,85,58,40.6
1,»ï¼º,133,79,7,3562,1365,112,0.9840000000000001,10,95,48,33.6
2,ÇÑÈ­,133,117,2,3555,1413,130,0.977,9,111,48,30.2
4,Çö´ë,133,116,6,3550,1553,147,0.978,5,96,69,41.8
