¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
6,KIA,144,110,76,34,69.1,46,8
4,KT,144,137,86,51,62.8,54,8
5,LG,144,133,77,56,57.9,50,9
2,NC,144,125,93,32,74.4,59,7
10,SK,144,95,53,42,55.8,33,7
7,³Ø¼¾,144,104,70,34,67.3,55,2
8,µÎ»ê,144,102,69,33,67.6,36,8
3,·Ôµ¥,144,136,92,44,67.6,52,10
1,»ï¼º,144,135,98,37,72.6,53,6
9,ÇÑÈ­,144,108,64,44,59.3,58,12
