¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
10,KIA,144,72,47,25,65.3,47,6
3,KT,144,156,106,50,67.9,49,6
7,LG,144,122,83,39,68.0,64,5
4,NC,144,139,101,38,72.7,49,7
8,SK,144,126,81,45,64.3,44,16
6,µÎ»ê,144,125,88,37,70.4,63,4
5,·Ôµ¥,144,121,90,31,74.4,52,3
1,»ï¼º,144,181,132,49,72.9,42,14
2,Å°¿ò,144,140,113,27,80.7,40,11
9,ÇÑÈ­,144,87,51,36,58.6,43,4
