¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
4,KIA,128,184,121,63,65.8,59,7
6,LG,128,169,105,64,62.1,51,9
2,NC,128,201,154,47,76.6,44,7
3,SK,128,185,139,46,75.1,50,11
7,³Ø¼¾,128,144,100,44,69.4,54,13
5,µÎ»ê,128,155,111,44,71.6,50,6
9,·Ôµ¥,128,104,63,41,60.6,49,2
1,»ï¼º,128,207,161,46,77.8,60,10
8,ÇÑÈ­,128,111,70,41,63.1,46,5
