¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
7,KIA,0.26,133,5166,4416,611,1148,190,17,106,1690,574,109,33
3,LG,0.276,133,5270,4604,688,1270,223,17,121,1890,652,82,44
4,SK,0.27399999999999997,133,5213,4439,704,1217,222,16,120,1831,648,147,44
6,³Ø¼¾,0.262,133,5139,4452,570,1165,199,20,87,1665,539,95,43
2,µÎ»ê,0.281,133,5252,4538,731,1276,224,25,149,1997,706,54,38
1,·Ôµ¥,0.28800000000000003,133,5261,4673,773,1345,220,16,185,2152,739,60,41
5,»ï¼º,0.272,133,5287,4436,681,1207,212,14,118,1801,630,111,44
8,ÇÑÈ­,0.244,133,5009,4321,543,1053,160,13,104,1551,508,75,33
