¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
8,KIA,5.12,2,3,48,12,5200,20309,0.293,259,28,79,48,12,73,6
1,LG,3.72,4,9,55,11,4848,18714,0.266,183,20,59,38,27,46,2
3,NC,3.96,5,5,74,21,4919,19087,0.254,176,15,84,50,13,60,6
6,SK,4.16,4,8,65,17,4932,19108,0.257,217,12,75,42,15,66,5
5,³Ø¼¾,4.12,0,7,53,12,4996,19638,0.27,202,21,71,37,8,52,3
7,µÎ»ê,4.57,1,8,44,17,5043,19707,0.272,207,30,67,39,10,55,6
2,·Ôµ¥,3.93,1,11,68,21,4986,19418,0.267,180,13,94,36,15,45,0
4,»ï¼º,3.98,2,5,70,7,4896,19250,0.259,194,21,70,29,12,44,4
9,ÇÑÈ­,5.31,2,2,34,8,5073,19471,0.276,227,32,78,43,17,89,8
