¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
5,KIA,126,114,70,44,61.4,30,5
3,LG,126,176,130,46,73.9,48,11
2,SK,126,204,136,68,66.7,50,9
1,µÎ»ê,126,220,161,59,73.2,62,12
6,·Ôµ¥,126,113,67,46,59.3,56,3
4,»ï¼º,126,147,101,46,68.7,41,6
8,ÇÑÈ­,126,69,48,21,69.6,43,5
7,Çö´ë,126,87,51,36,58.6,57,5
