¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
8,KIA,5.13,1,5,57,18,5681,22134,0.284,265,34,59,59,8,78,4
4,KT,4.54,0,5,56,23,5680,21496,0.271,227,9,45,48,20,75,1
2,LG,4.37,2,13,70,19,5655,21725,0.27,240,17,38,56,12,49,4
5,NC,4.58,0,7,59,19,5690,22362,0.26,199,15,53,35,10,65,7
10,SK,5.57,1,3,47,19,5727,22729,0.275,225,17,41,46,12,85,5
1,µÎ»ê,4.31,1,13,63,15,5681,22408,0.276,258,25,48,41,22,52,4
6,·Ôµ¥,4.64,1,16,59,18,5583,21520,0.271,241,17,51,40,25,62,4
7,»ï¼º,4.78,3,11,53,19,5634,22269,0.27,222,16,50,47,16,55,5
3,Å°¿ò,4.39,0,6,53,18,5556,21349,0.27,208,15,50,39,16,51,7
9,ÇÑÈ­,5.28,1,6,40,15,5756,22882,0.282,240,18,51,57,22,76,5
