¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
2,KIA,3.92,133,78,51,38,30,0.605,1195,1185,151,370,97,862,580,520,1.3
3,LG,3.93,133,66,61,32,40,0.52,1190,1119,135,501,100,896,575,520,1.36
6,SK,4.47,133,61,69,25,15,0.469,1179,1150,176,402,78,948,638,586,1.32
4,µÎ»ê,3.93,133,66,65,38,43,0.504,1183,1139,99,479,60,954,562,517,1.37
7,·Ôµ¥,4.72,133,35,97,13,19,0.265,1168,1269,130,443,83,775,710,612,1.47
1,»ï¼º,3.92,133,82,47,37,22,0.636,1197,1182,148,385,74,987,581,521,1.31
8,ÇÑÈ­,4.79,133,59,69,32,32,0.461,1184,1254,146,392,102,953,672,631,1.39
5,Çö´ë,4.23,133,70,58,38,36,0.547,1186,1219,142,416,64,890,614,558,1.38
