¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
6,KIA,3.9,11,15,74,18,5101,19344,0.262,229,23,112,38,13,56,6
7,LG,4.02,1,11,48,10,5188,19186,0.272,203,35,116,41,23,57,6
4,SK,3.82,0,10,54,15,5007,19078,0.256,201,19,92,32,26,35,7
5,³Ø¼¾,3.83,3,6,64,11,5116,19743,0.259,202,18,104,43,9,62,0
3,µÎ»ê,3.58,9,12,80,14,5012,19215,0.243,198,23,99,34,17,57,4
2,·Ôµ¥,3.48,3,9,57,15,5070,19536,0.259,162,7,96,30,20,65,1
1,»ï¼º,3.39,3,13,67,5,4941,19074,0.247,196,21,82,43,14,46,5
8,ÇÑÈ­,4.55,3,6,60,12,5092,19601,0.263,186,14,121,47,18,82,3
