¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
8,KIA,4.49,126,51,74,26,27,0.408,1109,1109,103,526,97,670,602,554,1.47
6,LG,4.33,126,58,62,34,58,0.483,1135,1181,63,514,52,630,600,547,1.49
1,SK,3.24,126,73,48,36,77,0.603,1139,1079,77,445,67,650,465,410,1.34
2,µÎ»ê,3.44,126,70,54,30,42,0.565,1131,1067,74,399,75,721,480,432,1.3
5,·Ôµ¥,4.12,126,55,68,22,24,0.447,1120,1164,93,414,69,704,554,513,1.41
4,»ï¼º,3.71,126,62,60,41,51,0.508,1131,1091,90,400,58,719,509,466,1.32
3,ÇÑÈ­,3.54,126,67,57,39,36,0.54,1119,1084,84,451,53,741,481,440,1.37
7,Çö´ë,4.41,126,56,69,27,46,0.44799999999999995,1127,1104,119,466,48,796,615,552,1.39
