¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
7,KIA,5.01,133,60,68,28,16,0.469,1178,1231,160,499,79,743,727,656,1.47
8,LG,5.09,133,58,67,26,27,0.46399999999999997,1184,1253,127,647,69,765,732,670,1.6
2,SK,4.38,133,60,71,33,22,0.45799999999999996,1171,1148,155,508,65,908,640,570,1.41
6,µÎ»ê,4.96,133,65,63,35,40,0.508,1180,1290,128,546,60,799,733,650,1.56
4,·Ôµ¥,4.68,133,59,70,33,28,0.457,1171,1238,128,523,61,790,670,609,1.5
3,»ï¼º,4.39,133,81,52,43,20,0.609,1187,1195,132,561,61,844,644,579,1.48
5,ÇÑÈ­,4.82,133,61,68,25,33,0.473,1185,1288,142,541,66,813,733,634,1.54
1,Çö´ë,4.34,133,72,57,39,23,0.5579999999999999,1183,1250,98,531,54,757,628,570,1.51
