¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
3,KIA,0.26899999999999996,133,5200,4575,643,1230,220,14,120,1838,611,45,35
4,LG,0.261,133,5121,4492,583,1173,212,22,100,1729,541,93,37
2,SK,0.27,133,5090,4475,618,1207,204,27,158,1939,587,96,34
6,µÎ»ê,0.261,133,5083,4498,587,1173,174,21,130,1779,556,47,46
8,·Ôµ¥,0.245,133,4986,4512,463,1105,206,19,85,1604,443,49,22
1,»ï¼º,0.284,133,5304,4648,777,1321,266,16,191,2192,731,55,34
7,ÇÑÈ­,0.256,133,5062,4491,603,1148,206,10,170,1884,570,52,22
5,Çö´ë,0.261,133,5140,4444,658,1160,191,25,173,1920,643,99,34
