¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
1,KIA,133,213,146,67,68.5,73,11
2,LG,133,197,135,62,68.5,40,5
4,SK,133,139,82,57,59.0,64,5
7,µÎ»ê,133,94,58,36,61.7,45,7
3,·Ôµ¥,133,150,84,66,56.0,60,8
8,»ï¼º,133,88,56,32,63.6,41,5
5,ÇÑÈ­,133,135,78,57,57.8,64,12
6,Çö´ë,133,123,75,48,61.0,72,5
