¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
4,KIA,0.272,505,18,42,721,72,0.41600000000000004,0.349,0.765,131,0.284,0.226
8,LG,0.249,404,11,70,781,90,0.37799999999999995,0.319,0.6970000000000001,133,0.22899999999999998,0.201
5,SK,0.272,464,10,89,763,87,0.431,0.35,0.7809999999999999,133,0.26899999999999996,0.19
3,µÎ»ê,0.276,452,17,62,706,121,0.39,0.34600000000000003,0.736,133,0.271,0.272
6,·Ôµ¥,0.256,338,11,73,848,75,0.365,0.317,0.682,133,0.243,0.20600000000000002
2,»ï¼º,0.284,481,19,85,661,131,0.48200000000000004,0.36,0.8420000000000001,133,0.293,0.20600000000000002
7,ÇÑÈ­,0.254,542,22,75,887,89,0.39299999999999996,0.34299999999999997,0.736,133,0.252,0.201
1,Çö´ë,0.28600000000000003,543,23,109,727,100,0.456,0.373,0.8290000000000001,133,0.272,0.20800000000000002
