¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
8,KIA,4.49,2,6,43,6,4933,18852,0.266,244,17,93,39,28,60,7
6,LG,4.33,2,9,58,16,5014,19341,0.275,215,27,105,55,21,48,2
1,SK,3.24,1,10,58,9,4852,18425,0.256,141,7,94,32,27,28,1
2,µÎ»ê,3.44,6,14,57,11,4814,18464,0.252,187,17,79,34,24,43,4
5,·Ôµ¥,4.12,2,9,59,12,4871,18425,0.27399999999999997,184,19,95,43,40,46,4
4,»ï¼º,3.71,0,11,42,6,4824,18606,0.258,187,20,94,46,7,35,5
3,ÇÑÈ­,3.54,9,5,66,12,4781,18314,0.261,182,6,82,36,24,38,4
7,Çö´ë,4.41,1,2,44,11,4906,18861,0.259,192,21,91,32,20,32,4
