¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,KIA,0.302,499,19,89,891,117,0.469,0.37,0.8390000000000001,144,0.324,0.254
9,KT,0.275,374,11,66,1017,118,0.41,0.332,0.742,144,0.29,0.239
7,LG,0.281,438,17,101,1021,123,0.4,0.348,0.748,144,0.295,0.217
3,NC,0.293,471,19,130,979,119,0.44299999999999995,0.365,0.8079999999999999,144,0.292,0.249
10,SK,0.271,427,20,113,1100,97,0.465,0.341,0.8059999999999999,144,0.273,0.237
4,³Ø¼¾,0.29,468,15,83,1066,129,0.43700000000000006,0.35700000000000004,0.794,144,0.29,0.23
2,µÎ»ê,0.294,541,19,95,960,120,0.45899999999999996,0.369,0.828,144,0.29600000000000004,0.2
6,·Ôµ¥,0.285,457,33,112,1018,146,0.433,0.35600000000000004,0.789,144,0.28,0.22899999999999998
8,»ï¼º,0.27899999999999997,429,17,70,983,97,0.428,0.34,0.768,144,0.285,0.22
5,ÇÑÈ­,0.287,416,15,94,974,112,0.435,0.35,0.785,144,0.29,0.281
