¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
4,KIA,128,188,141,47,75.0,50,7
5,LG,128,210,139,71,66.2,69,17
3,NC,128,189,142,47,75.1,35,19
2,SK,128,207,144,63,69.6,42,13
7,³Ø¼¾,128,196,131,65,66.8,55,14
1,µÎ»ê,128,233,172,61,73.8,53,15
6,·Ôµ¥,128,191,133,58,69.6,66,12
8,»ï¼º,128,136,95,41,69.9,58,6
9,ÇÑÈ­,128,119,70,49,58.8,56,9
