¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
5,KIA,0.26,430,24,74,718,101,0.38,0.337,0.7170000000000001,125,0.24,0.191
6,LG,0.26,349,12,93,915,72,0.389,0.327,0.716,126,0.276,0.247
3,SK,0.26899999999999996,495,27,85,806,88,0.40299999999999997,0.355,0.758,126,0.249,0.265
2,µÎ»ê,0.27,465,14,85,701,93,0.365,0.35100000000000003,0.716,126,0.275,0.16399999999999998
8,·Ôµ¥,0.253,361,11,70,856,83,0.37200000000000005,0.322,0.6940000000000001,125,0.261,0.228
4,»ï¼º,0.268,500,21,109,748,112,0.391,0.35700000000000004,0.748,126,0.265,0.204
1,ÇÑÈ­,0.27,400,12,75,824,121,0.434,0.341,0.775,126,0.261,0.22
7,Çö´ë,0.256,458,12,120,817,85,0.39899999999999997,0.344,0.743,125,0.24100000000000002,0.257
