¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
8,KIA,133,169,117,52,69.2,48,14
1,LG,133,225,169,56,75.1,58,15
2,SK,133,230,161,69,70.0,51,13
4,³Ø¼¾,133,191,135,56,70.7,56,5
5,µÎ»ê,133,189,128,61,67.7,56,12
6,·Ôµ¥,133,175,124,51,70.9,62,7
3,»ï¼º,133,213,158,55,74.2,54,8
7,ÇÑÈ­,133,191,121,70,63.4,56,11
