¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
10,KIA,0.251,144,5454,4777,648,1197,223,22,136,1872,602,79,43
6,KT,0.273,144,5605,4927,670,1344,221,15,129,1982,633,75,37
9,LG,0.26899999999999996,144,5599,4941,653,1331,252,22,114,1969,601,75,41
4,NC,0.289,144,5727,4967,844,1437,283,28,161,2259,802,64,53
7,SK,0.272,144,5588,4861,693,1323,214,10,145,1992,656,110,29
2,³Ø¼¾,0.298,144,5811,5069,904,1512,304,20,203,2465,855,61,55
3,µÎ»ê,0.29,144,5759,4957,807,1436,254,22,140,2154,770,75,60
5,·Ôµ¥,0.28,144,5680,4972,765,1393,254,19,177,2216,727,80,28
1,»ï¼º,0.302,144,5803,5019,897,1515,259,25,176,2352,850,76,57
8,ÇÑÈ­,0.271,144,5716,4852,717,1316,218,19,130,1962,667,139,35
