¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
2,KIA,0.278,133,5189,4542,683,1263,221,17,142,1944,637,51,43
5,LG,0.276,133,5319,4521,669,1247,219,24,85,1769,630,114,41
8,SK,0.26,133,5077,4400,596,1143,215,11,113,1719,555,122,26
4,µÎ»ê,0.276,133,5303,4583,732,1266,221,26,130,1929,688,54,46
1,·Ôµ¥,0.28,133,5308,4521,718,1265,247,24,121,1923,671,82,60
3,»ï¼º,0.27699999999999997,133,5280,4553,739,1262,244,21,162,2034,695,69,42
6,ÇÑÈ­,0.275,133,5259,4556,659,1255,211,15,148,1940,628,75,34
7,Çö´ë,0.268,133,5225,4445,711,1192,166,20,169,1905,667,77,29
