¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
7,KIA,4.51,5,9,49,0,5199,19717,0.268,213,22,77,39,13,48,1
5,LG,4.31,3,6,46,0,5180,20349,0.27699999999999997,207,17,76,42,31,55,1
6,SK,4.4,3,6,39,0,5216,20469,0.263,208,13,79,25,18,57,8
2,µÎ»ê,3.88,4,12,54,0,5056,19198,0.26,177,15,84,40,18,49,3
4,·Ôµ¥,4.22,4,8,49,0,5160,19578,0.272,220,13,105,53,41,43,3
1,»ï¼º,3.76,4,9,52,0,5138,20237,0.247,181,13,87,34,17,43,6
8,ÇÑÈ­,5.21,3,0,48,0,5267,19697,0.282,215,12,95,44,18,47,2
3,Çö´ë,4.06,3,8,70,0,5135,20159,0.263,232,16,69,25,0,41,4
