¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
7,KIA,126,98,11,3315,1388,128,0.98,10,97,44,31.2
8,LG,126,89,15,3307,1314,112,0.981,12,78,34,30.4
1,SK,126,80,10,3411,1321,103,0.983,9,82,62,43.1
3,µÎ»ê,126,80,7,3375,1299,149,0.983,12,86,36,29.5
4,·Ôµ¥,126,98,9,3361,1417,124,0.98,6,111,36,24.5
2,»ï¼º,126,86,5,3388,1361,98,0.982,2,83,37,30.8
6,ÇÑÈ­,126,110,4,3333,1479,127,0.978,7,130,54,29.3
5,Çö´ë,126,100,3,3347,1340,111,0.9790000000000001,7,88,41,31.8
