¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
6,KIA,0.27399999999999997,144,5642,4937,724,1355,224,13,130,1995,692,63,38
3,KT,0.284,144,5762,5047,813,1432,238,21,163,2201,767,64,45
4,LG,0.27699999999999997,144,5681,4999,802,1384,253,29,149,2142,760,49,49
2,NC,0.29100000000000004,144,5833,5102,888,1483,258,28,187,2358,845,46,51
9,SK,0.25,144,5502,4839,634,1212,177,17,143,1852,595,49,34
1,µÎ»ê,0.293,144,5776,5046,816,1477,263,20,125,2155,778,38,73
5,·Ôµ¥,0.276,144,5669,4958,750,1366,252,6,131,2023,711,39,48
8,»ï¼º,0.268,144,5574,4923,699,1317,211,12,129,1939,658,50,53
7,Å°¿ò,0.26899999999999996,144,5721,4945,759,1332,254,25,127,2017,713,43,52
10,ÇÑÈ­,0.245,144,5483,4862,551,1189,195,12,79,1645,523,45,25
