¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
7,KIA,4.81,126,49,76,24,26,0.392,1105,1166,138,510,119,786,659,591,1.52
8,LG,4.9,126,54,71,31,59,0.43200000000000005,1102,1212,109,480,80,781,666,600,1.53
1,SK,3.41,126,70,50,27,50,0.583,1137,1005,103,422,99,843,485,431,1.26
2,µÎ»ê,3.42,126,72,51,33,51,0.585,1125,1038,90,440,77,818,465,427,1.31
4,·Ôµ¥,4.3,126,58,67,33,24,0.46399999999999997,1120,1097,91,408,89,817,573,535,1.34
3,»ï¼º,3.83,126,74,48,37,62,0.607,1129,1026,109,387,79,875,528,480,1.25
5,ÇÑÈ­,4.41,126,64,61,36,43,0.512,1111,1193,111,389,88,662,603,545,1.42
6,Çö´ë,4.68,126,53,70,28,22,0.431,1115,1175,125,422,80,803,647,580,1.43
