¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
8,KIA,126,77,5,3329,1426,131,0.9840000000000001,8,114,37,24.5
2,LG,126,94,9,3407,1463,150,0.981,9,56,39,41.1
1,SK,126,88,3,3418,1503,152,0.982,1,71,50,41.3
4,µÎ»ê,126,73,3,3394,1333,115,0.985,15,105,38,26.6
6,·Ôµ¥,126,82,14,3362,1444,118,0.983,10,80,38,32.2
3,»ï¼º,126,87,8,3395,1431,113,0.982,8,70,43,38.1
7,ÇÑÈ­,126,76,9,3357,1468,118,0.9840000000000001,3,124,74,37.4
5,Çö´ë,126,96,4,3381,1327,106,0.98,12,127,47,27.0
