¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
2,KIA,133,181,127,54,70.2,38,10
6,LG,133,117,69,48,59.0,56,7
7,SK,133,97,50,47,51.5,53,4
5,µÎ»ê,133,130,71,59,54.6,59,9
1,·Ôµ¥,133,175,129,46,73.7,66,10
7,»ï¼º,133,82,50,32,61.0,50,14
4,ÇÑÈ­,133,140,82,58,58.6,50,7
3,Çö´ë,133,145,100,45,69.0,67,6
