¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
2,KIA,0.278,497,21,56,774,129,0.428,0.353,0.7809999999999999,133,0.272,0.225
5,LG,0.276,590,24,52,759,100,0.391,0.363,0.754,133,0.28,0.263
8,SK,0.26,457,23,71,770,95,0.391,0.337,0.728,133,0.255,0.27399999999999997
4,µÎ»ê,0.276,560,27,60,697,116,0.42100000000000004,0.359,0.78,133,0.278,0.163
1,·Ôµ¥,0.28,585,39,60,817,89,0.425,0.365,0.79,133,0.28800000000000003,0.244
3,»ï¼º,0.27699999999999997,520,27,95,814,111,0.447,0.36,0.807,133,0.267,0.223
6,ÇÑÈ­,0.275,549,28,45,877,106,0.426,0.35700000000000004,0.7829999999999999,133,0.265,0.233
7,Çö´ë,0.268,598,14,76,911,109,0.429,0.36200000000000004,0.7909999999999999,133,0.27899999999999997,0.23199999999999998
