¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,KIA,3.62,12,10,65,0,4999,19162,0.25,178,10,88,30,12,42,1
2,LG,3.98,2,10,48,0,5166,20403,0.271,185,23,116,34,27,49,2
7,SK,4.44,3,10,44,0,5158,19830,0.267,212,21,84,32,19,42,2
4,µÎ»ê,4.24,7,7,52,0,5144,19144,0.268,208,18,105,43,22,37,3
8,·Ôµ¥,5.01,3,4,44,0,5173,19413,0.289,259,22,93,40,16,36,3
5,»ï¼º,4.37,2,5,45,0,5150,19834,0.268,222,24,95,29,15,46,3
6,ÇÑÈ­,4.37,4,8,54,0,5165,19888,0.261,222,14,82,45,14,53,9
3,Çö´ë,4.13,2,4,58,0,5197,20181,0.273,229,17,92,33,6,56,2
