¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
2,KIA,0.295,144,5744,5036,865,1487,258,22,170,2299,823,56,50
9,KT,0.275,144,5605,5026,757,1382,264,13,206,2290,721,43,26
3,LG,0.293,144,5665,5070,788,1487,299,12,148,2254,740,51,51
10,NC,0.261,144,5488,4895,660,1280,233,18,143,1978,629,35,43
7,SK,0.281,144,5682,4992,829,1403,234,13,233,2362,791,54,34
5,³Ø¼¾,0.28800000000000003,144,5780,5141,825,1481,288,19,165,2302,787,32,50
1,µÎ»ê,0.309,144,5870,5176,944,1601,284,30,191,2518,898,43,63
4,·Ôµ¥,0.289,144,5764,5130,821,1484,289,17,203,2416,792,45,37
6,»ï¼º,0.28800000000000003,144,5766,5109,776,1471,241,29,146,2208,732,57,45
8,ÇÑÈ­,0.275,144,5539,4972,729,1369,249,14,151,2099,668,31,28
