¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
5,KIA,0.26,126,4848,4234,541,1102,183,13,99,1608,507,79,31
6,LG,0.26,126,4785,4222,601,1098,189,21,105,1644,554,80,41
3,SK,0.26899999999999996,126,4984,4230,589,1139,174,12,122,1703,559,136,38
2,µÎ»ê,0.27,126,4922,4256,596,1147,183,17,63,1553,558,81,35
8,·Ôµ¥,0.253,126,4722,4177,500,1058,202,23,83,1555,470,94,20
4,»ï¼º,0.268,126,4975,4234,614,1134,178,6,111,1657,575,98,34
1,ÇÑÈ­,0.27,126,4841,4304,622,1163,211,9,159,1869,594,31,31
7,Çö´ë,0.256,126,4899,4190,563,1071,168,16,134,1673,529,105,26
