¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
6,KIA,0.264,144,5505,4874,605,1286,248,19,76,1800,567,31,45
4,KT,0.27699999999999997,144,5582,4965,650,1375,187,20,103,1911,615,45,45
5,LG,0.267,144,5536,4928,641,1316,233,15,94,1861,604,49,48
2,NC,0.278,144,5631,4968,674,1383,249,26,128,2068,639,64,60
7,SK,0.262,144,5542,4919,655,1290,218,14,117,1887,622,35,38
3,µÎ»ê,0.278,144,5670,4913,736,1364,235,31,84,1913,691,39,83
10,·Ôµ¥,0.25,144,5488,4919,578,1231,214,22,90,1759,545,35,40
9,»ï¼º,0.256,144,5533,4866,622,1245,230,26,122,1893,598,58,53
1,Å°¿ò,0.282,144,5658,4991,780,1405,251,38,112,2068,741,36,48
8,ÇÑÈ­,0.256,144,5482,4882,607,1250,223,16,88,1769,562,44,45
