¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
2,KIA,0.295,503,27,99,905,135,0.457,0.36700000000000005,0.8240000000000001,144,0.302,0.207
9,KT,0.275,464,14,46,1109,103,0.456,0.34,0.7959999999999999,144,0.273,0.262
3,LG,0.293,418,14,75,1001,125,0.445,0.353,0.7979999999999999,144,0.307,0.245
10,NC,0.261,427,15,88,1081,115,0.40399999999999997,0.32899999999999996,0.733,143,0.268,0.284
7,SK,0.281,483,6,119,1079,103,0.473,0.35600000000000004,0.8290000000000001,144,0.28800000000000003,0.24100000000000002
5,³Ø¼¾,0.28800000000000003,472,25,85,1208,93,0.44799999999999995,0.355,0.8029999999999999,144,0.29600000000000004,0.265
1,µÎ»ê,0.309,496,16,92,1016,112,0.486,0.376,0.862,144,0.317,0.263
4,·Ôµ¥,0.289,471,22,81,1157,124,0.47100000000000003,0.35600000000000004,0.8270000000000001,144,0.29,0.25
6,»ï¼º,0.28800000000000003,468,14,87,1034,115,0.43200000000000005,0.355,0.787,144,0.282,0.237
8,ÇÑÈ­,0.275,420,17,88,1098,113,0.42200000000000004,0.341,0.763,144,0.28300000000000003,0.231
