¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
2,KIA,3.92,10,7,55,0,5106,19112,0.26,159,12,54,34,14,55,2
3,LG,3.93,2,9,38,0,5145,20432,0.252,185,19,74,26,30,40,5
6,SK,4.47,5,7,54,0,5074,19578,0.255,209,15,55,23,34,34,3
4,µÎ»ê,3.93,3,6,60,0,5087,19237,0.257,187,23,77,33,30,44,2
7,·Ôµ¥,4.72,5,7,49,0,5156,19635,0.281,266,28,70,45,16,40,1
1,»ï¼º,3.92,2,8,45,0,5089,19535,0.262,214,22,80,33,16,45,3
8,ÇÑÈ­,4.79,8,5,54,0,5198,20061,0.272,229,25,62,38,29,42,4
5,Çö´ë,4.23,3,6,49,0,5131,19927,0.268,230,10,64,32,12,54,5
