¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,KIA,3.62,133,78,50,36,34,0.609,1178,1092,137,414,101,820,527,474,1.28
2,LG,3.98,133,60,71,37,51,0.458,1169,1201,120,531,60,794,579,517,1.48
3,Çö´ë,4.13,133,80,51,39,43,0.611,1190,1245,120,457,62,840,627,546,1.43
4,µÎ»ê,4.24,133,57,74,30,53,0.435,1175,1194,105,464,79,654,619,554,1.41
5,»ï¼º,4.37,133,76,53,30,41,0.589,1183,1199,133,494,59,808,613,574,1.43
6,ÇÑÈ­,4.37,133,63,65,35,31,0.492,1192,1184,142,437,68,772,617,579,1.36
7,SK,4.44,133,66,64,43,48,0.508,1181,1190,135,497,83,759,642,583,1.43
8,·Ôµ¥,5.01,133,39,91,22,58,0.300,1164,1302,171,435,93,647,709,648,1.49
