¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,KIA,3.33,126,64,59,35,29,0.520,1118,998,73,442,78,735,451,414,1.29
2,»ï¼º,3.33,126,73,50,49,65,0.593,1118,1030,100,365,63,781,471,414,1.25
3,ÇÑÈ­,3.35,126,67,57,41,47,0.540,1121,1077,94,373,49,760,475,418,1.29
4,µÎ»ê,3.36,126,63,60,39,29,0.512,1115,968,69,424,69,834,467,416,1.25
5,Çö´ë,3.41,126,70,55,41,45,0.560,1114,1053,69,394,71,816,467,422,1.30
6,SK,3.80,126,60,65,33,52,0.480,1124,1071,85,446,83,701,535,475,1.35
7,·Ôµ¥,3.86,126,50,73,28,34,0.407,1118,1128,83,410,60,637,541,480,1.37
8,LG,4.22,126,47,75,29,53,0.385,1110,1144,87,439,60,625,574,521,1.43
