¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,SK,4.67,144,78,65,29,63,0.545,1274,1353,189,425,74,1130,729,662,1.39
2,ÇÑÈ­,4.93,144,77,67,37,62,0.535,1274,1394,164,472,89,1124,761,698,1.46
3,µÎ»ê,4.98,144,93,51,41,56,0.646,1288,1401,154,476,109,1025,756,713,1.46
4,³Ø¼¾,5.08,144,75,69,32,72,0.521,1282,1442,178,416,98,1021,780,723,1.45
5,»ï¼º,5.19,144,68,72,33,56,0.486,1285,1477,185,441,107,1114,802,741,1.49
6,LG,5.29,144,68,75,29,43,0.476,1268,1434,159,453,89,1058,816,746,1.49
7,KT,5.34,144,59,82,24,45,0.418,1274,1580,194,409,84,1025,834,756,1.56
8,·Ôµ¥,5.37,144,68,74,29,64,0.479,1283,1410,166,548,73,1164,846,766,1.53
9,KIA,5.40,144,70,74,26,43,0.486,1270,1511,181,445,69,1017,826,763,1.54
10,NC,5.48,144,58,85,24,51,0.406,1264,1443,186,537,68,1010,844,769,1.57
