¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,µÎ»ê,128,61,6,3451,1372,133,0.988,8,114,59,34.1
2,·Ôµ¥,128,98,26,3448,1449,114,0.980,2,113,66,36.9
3,»ï¼º,128,76,12,3440,1226,113,0.984,8,128,46,26.4
4,³Ø¼¾,128,97,15,3439,1463,142,0.981,11,133,65,32.8
5,NC,128,93,10,3433,1373,121,0.981,8,87,55,38.7
6,KIA,128,71,10,3427,1318,103,0.985,10,193,57,22.8
7,SK,128,84,14,3417,1350,128,0.983,11,81,47,36.7
8,LG,128,77,14,3404,1436,165,0.984,8,123,51,29.3
9,ÇÑÈ­,128,74,5,3387,1301,103,0.984,12,159,56,26.0
