¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
1,LG,126,194,149,45,76.8,30,10
2,µÎ»ê,126,153,103,50,67.3,51,4
3,KIA,126,144,101,43,70.1,43,6
3,SK,126,155,101,54,65.2,58,15
5,»ï¼º,126,135,97,38,71.9,42,7
6,·Ôµ¥,126,140,88,52,62.9,57,8
7,Çö´ë,126,119,81,38,68.1,56,12
8,ÇÑÈ­,126,86,62,24,72.1,33,2
