¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,KIA,144,98,4,3870,1498,153,0.982,12,69,45,39.5
2,µÎ»ê,144,90,9,3864,1468,138,0.983,5,64,36,36.0
3,·Ôµ¥,144,86,10,3862,1514,132,0.984,14,87,45,34.1
4,NC,144,108,4,3854,1432,134,0.980,4,64,42,39.6
5,»ï¼º,144,95,6,3844,1454,152,0.982,14,64,35,35.4
6,LG,144,103,12,3837,1434,127,0.981,9,62,37,37.4
7,ÇÑÈ­,144,91,4,3819,1500,151,0.983,11,78,42,35.0
8,³Ø¼¾,144,91,7,3813,1424,125,0.983,8,73,43,37.1
9,SK,144,108,15,3812,1552,139,0.980,8,80,39,32.8
10,KT,144,112,6,3768,1460,134,0.979,10,109,43,28.3
