¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,LG,4.30,144,69,72,32,66,0.489,1279,1305,124,379,102,1040,677,611,1.32
2,µÎ»ê,4.38,144,84,57,35,46,0.596,1288,1405,125,464,87,956,678,627,1.45
3,·Ôµ¥,4.56,144,80,62,39,59,0.563,1287,1357,162,477,79,1096,701,652,1.42
4,NC,4.71,144,79,62,32,51,0.560,1284,1342,169,470,93,1097,745,673,1.41
5,KIA,4.79,144,87,56,33,46,0.608,1290,1518,137,434,77,985,743,687,1.51
6,SK,5.02,144,75,68,30,64,0.524,1270,1443,154,481,105,940,767,709,1.51
7,³Ø¼¾,5.03,144,69,73,40,66,0.486,1271,1488,149,388,97,1005,764,710,1.48
8,ÇÑÈ­,5.28,144,61,81,31,49,0.430,1273,1474,166,446,100,914,820,747,1.51
9,KT,5.75,144,50,94,22,41,0.347,1256,1524,174,433,95,913,876,803,1.56
10,»ï¼º,5.88,144,55,84,27,34,0.396,1281,1541,187,548,118,1063,911,837,1.63
