¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
1,NC,144,264,204,60,77.3,50,14
2,»ï¼º,144,209,157,52,75.1,60,6
3,KT,144,176,124,52,70.5,58,10
4,KIA,144,165,115,50,69.7,60,13
5,LG,144,175,113,62,64.6,55,9
6,µÎ»ê,144,158,111,47,70.3,56,6
7,·Ôµ¥,144,154,104,50,67.5,56,9
8,³Ø¼¾,144,147,100,47,68.0,72,16
9,SK,144,153,94,59,61.4,59,14
10,ÇÑÈ­,144,127,80,47,63.0,57,14
