¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,µÎ»ê,0.289,524,19,79,717,105,0.420,0.370,0.790,128,0.289,0.295
2,»ï¼º,0.283,453,9,93,818,98,0.416,0.359,0.775,128,0.298,0.208
3,LG,0.282,451,11,59,806,80,0.386,0.355,0.741,128,0.295,0.252
4,³Ø¼¾,0.272,505,12,98,912,94,0.413,0.358,0.771,127,0.280,0.200
5,SK,0.265,465,26,86,918,99,0.406,0.346,0.752,128,0.266,0.245
6,·Ôµ¥,0.261,502,22,72,862,92,0.360,0.345,0.705,128,0.259,0.279
7,KIA,0.261,537,8,75,864,110,0.373,0.349,0.722,127,0.258,0.240
8,ÇÑÈ­,0.259,479,11,80,933,140,0.348,0.343,0.691,128,0.253,0.211
9,NC,0.244,434,11,62,955,94,0.365,0.320,0.685,127,0.257,0.176
