¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,KIA,3.33,2,9,49,8,4725,18216,0.243,172,7,81,23,17,44,2
2,»ï¼º,3.33,1,15,56,9,4699,18038,0.249,185,10,98,28,9,21,7
3,ÇÑÈ­,3.35,11,14,56,10,4731,17764,0.257,166,11,94,18,17,37,2
4,µÎ»ê,3.36,7,10,67,8,4690,17927,0.240,158,18,117,47,13,55,1
5,Çö´ë,3.41,2,15,67,8,4771,18458,0.251,172,18,82,23,0,39,0
6,SK,3.80,0,6,47,11,4819,18300,0.259,172,11,119,33,24,26,2
7,·Ôµ¥,3.86,5,9,64,18,4822,18088,0.268,210,12,100,38,30,30,1
8,LG,4.22,3,10,51,12,4834,18397,0.273,188,22,115,33,23,41,3
