¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,LG,4.30,4,6,62,18,5507,21107,0.266,249,29,57,54,31,81,3
2,µÎ»ê,4.38,3,9,69,13,5682,22169,0.280,234,31,77,39,11,54,4
3,·Ôµ¥,4.56,1,10,61,21,5634,21978,0.273,245,20,51,50,25,67,7
4,NC,4.71,1,10,48,11,5640,22176,0.269,208,9,63,29,12,93,3
5,KIA,4.79,5,5,75,18,5748,22223,0.295,255,21,52,46,22,69,4
6,SK,5.02,2,4,57,24,5692,21752,0.288,271,17,58,36,35,61,7
7,³Ø¼¾,5.03,2,5,60,18,5663,21258,0.292,280,21,47,40,10,56,3
8,ÇÑÈ­,5.28,1,5,54,21,5698,22066,0.293,278,16,71,57,13,77,4
9,KT,5.75,4,7,49,18,5702,21518,0.301,283,27,68,49,11,77,6
10,»ï¼º,5.88,1,3,43,12,5916,23196,0.300,281,28,56,59,15,74,4
