¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,SK,4.67,0,7,60,21,5563,21347,0.271,232,17,39,24,15,62,2
2,ÇÑÈ­,4.93,0,5,45,13,5637,22342,0.279,246,13,29,46,9,78,7
3,µÎ»ê,4.98,1,9,73,17,5700,21946,0.279,266,16,42,43,17,72,2
4,³Ø¼¾,5.08,4,2,63,23,5646,21381,0.285,252,18,41,33,13,59,4
5,»ï¼º,5.19,0,5,58,17,5740,22530,0.289,291,18,40,43,10,45,5
6,LG,5.29,3,7,64,17,5677,21711,0.285,266,19,45,50,13,72,4
7,KT,5.34,4,5,59,18,5743,21948,0.307,272,23,56,43,25,63,1
8,·Ôµ¥,5.37,0,6,43,22,5788,22871,0.279,295,26,63,43,23,65,7
9,KIA,5.40,4,5,50,20,5708,21852,0.297,271,17,47,51,28,65,3
10,NC,5.48,1,4,45,20,5701,22506,0.289,248,20,45,51,17,92,6
