¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,»ï¼º,133,87,5,3593,1409,115,0.983,14,74,65,46.8
2,KIA,133,101,1,3585,1403,127,0.980,12,75,60,44.4
3,LG,133,91,10,3572,1369,139,0.982,8,67,48,41.7
4,Çö´ë,133,82,10,3559,1445,125,0.984,12,82,46,35.9
5,ÇÑÈ­,133,85,10,3554,1363,94,0.983,9,116,43,27.0
6,µÎ»ê,133,88,3,3549,1447,130,0.983,7,103,53,34.0
7,SK,133,94,8,3537,1363,95,0.981,8,129,50,27.9
8,·Ôµ¥,133,117,2,3504,1523,165,0.977,13,107,41,27.7
