¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,LG,3.72,128,74,54,42,86,0.578,1134,1131,74,406,87,822,510,469,1.35
2,·Ôµ¥,3.93,128,66,58,38,64,0.532,1149,1148,84,489,62,820,553,502,1.42
3,NC,3.96,128,52,72,26,31,0.419,1144,1077,96,458,94,857,551,503,1.34
4,»ï¼º,3.98,128,75,51,31,49,0.595,1146,1119,98,411,60,955,545,507,1.33
5,³Ø¼¾,4.12,128,72,54,50,70,0.571,1146,1160,75,503,84,860,576,525,1.45
6,SK,4.16,128,62,63,31,38,0.496,1139,1091,101,505,70,878,571,527,1.40
7,µÎ»ê,4.57,128,71,54,30,42,0.568,1150,1183,84,514,76,848,625,584,1.48
8,KIA,5.12,128,51,74,32,50,0.408,1142,1307,88,532,76,923,711,650,1.61
9,ÇÑÈ­,5.31,128,42,85,22,34,0.331,1129,1195,98,532,95,822,711,666,1.53
