¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,µÎ»ê,0.309,496,16,92,1016,112,0.486,0.376,0.862,144,0.317,0.263
2,KIA,0.295,503,27,99,905,135,0.457,0.367,0.824,144,0.302,0.207
3,LG,0.293,418,14,75,1001,125,0.445,0.353,0.798,144,0.307,0.245
4,·Ôµ¥,0.289,471,22,81,1157,124,0.471,0.356,0.827,144,0.290,0.250
5,³Ø¼¾,0.288,472,25,85,1208,93,0.448,0.355,0.803,144,0.296,0.265
6,»ï¼º,0.288,468,14,87,1034,115,0.432,0.355,0.787,144,0.282,0.237
7,SK,0.281,483,6,119,1079,103,0.473,0.356,0.829,144,0.288,0.241
8,ÇÑÈ­,0.275,420,17,88,1098,113,0.422,0.341,0.763,144,0.283,0.231
9,KT,0.275,464,14,46,1109,103,0.456,0.340,0.796,144,0.273,0.262
10,NC,0.261,427,15,88,1081,115,0.404,0.329,0.733,143,0.268,0.284
