¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,SK,133,81,6,3595,1400,126,0.984,7,109,59,35.1
2,·Ôµ¥,133,102,11,3582,1680,130,0.981,6,131,62,32.1
3,»ï¼º,133,92,12,3581,1369,118,0.982,6,134,65,32.7
4,LG,133,92,9,3564,1573,167,0.982,7,124,66,34.7
5,³Ø¼¾,133,93,17,3557,1515,148,0.982,9,160,68,29.8
6,KIA,133,86,8,3551,1493,118,0.983,4,156,48,23.5
7,µÎ»ê,133,91,11,3539,1455,112,0.982,8,119,44,27.0
8,ÇÑÈ­,133,80,10,3508,1448,127,0.984,7,151,58,27.8
