¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,»ï¼º,0.301,507,11,62,743,88,0.473,0.377,0.850,128,0.327,0.223
2,³Ø¼¾,0.298,523,10,101,849,100,0.509,0.382,0.891,128,0.286,0.233
3,µÎ»ê,0.293,468,10,64,731,103,0.431,0.366,0.797,128,0.282,0.194
4,SK,0.291,447,12,72,926,92,0.434,0.361,0.795,128,0.301,0.305
5,KIA,0.288,416,11,62,870,95,0.437,0.355,0.792,128,0.258,0.235
6,·Ôµ¥,0.287,534,19,70,964,95,0.436,0.369,0.805,127,0.283,0.245
7,ÇÑÈ­,0.283,490,5,55,839,125,0.415,0.359,0.774,128,0.266,0.221
8,NC,0.282,443,9,67,918,90,0.447,0.353,0.800,127,0.300,0.257
9,LG,0.279,524,17,63,817,112,0.400,0.361,0.761,127,0.290,0.202
